,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,All CPRA,,"107,888","91,242","11,896",897,"1,702","3,515",983,48,212,3,2,6,3,3,1
,0,,"56,345","55,446",0,550,993,0,0,0,0,2,2,3,2,0,1
,1-19,,"11,339","11,181",0,68,197,0,0,0,0,0,0,2,0,1,0
,20-79,,"15,992","15,737",0,134,309,0,0,0,0,1,0,1,1,1,0
,80-97,,"5,627","5,522",0,70,107,0,0,0,0,0,0,0,0,1,0
,98-100,,"5,699","5,595",0,78,108,0,0,0,0,0,0,0,0,0,0
,NA,,"16,404",0,"11,896",0,0,"3,515",983,48,212,0,0,0,0,0,0
ALCH-TX1 Children's of Alabama,All CPRA,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
,0,,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0
,20-79,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,98-100,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
,NA,,8,0,2,0,0,6,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,All CPRA,,"1,152","1,031",102,5,9,15,8,0,0,0,0,0,0,0,0
,0,,630,622,0,3,7,0,0,0,0,0,0,0,0,0,0
,1-19,,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0
,20-79,,196,196,0,0,1,0,0,0,0,0,0,0,0,0,0
,80-97,,55,53,0,2,0,0,0,0,0,0,0,0,0,0,0
,98-100,,115,114,0,0,1,0,0,0,0,0,0,0,0,0,0
,NA,,125,0,102,0,0,15,8,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,All CPRA,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
,0,,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0
,1-19,,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
