Donor_Type,Organ,Primary_Payer,To Date,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Donor Types,Kidney,All Primary Payers,"494,379","1,802","22,817","23,401","21,167","19,849","19,060","17,878","17,108","16,896","16,487","16,816","16,900","16,829","16,521","16,634","17,095","16,485","16,007","15,138","14,781","14,279","13,631","12,767","12,454","11,710","11,411","11,084","10,646","10,360","9,738","9,678","9,416","8,656","8,878"
All Donor Types,Kidney,Donation,71,0,1,1,1,2,2,3,1,2,2,2,1,0,2,1,2,4,2,4,5,5,1,10,4,4,3,5,1,0,0,0,0,0,0
All Donor Types,Kidney,Foreign Government Specify,507,0,21,27,39,27,39,40,42,20,15,15,13,18,16,5,7,11,4,13,22,33,27,19,12,11,5,2,3,0,1,0,0,0,0
All Donor Types,Kidney,Free Care,210,1,1,2,5,2,6,3,4,2,8,8,7,11,8,17,20,11,12,5,10,8,15,5,2,8,3,11,14,0,0,0,1,0,0
All Donor Types,Kidney,Pending,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney,Private insurance,"160,232",310,"7,220","7,413","6,647","6,309","5,947","5,603","5,830","5,924","5,938","6,157","6,438","6,604","6,682","6,632","7,007","6,671","6,660","6,520","6,359","6,105","6,121","5,537","5,079","4,167","3,929","3,597","2,577",131,34,26,26,15,17
All Donor Types,Kidney,Public insurance - CHIP (Children's Health Insurance Program),568,3,44,47,29,33,40,23,28,20,29,33,28,31,34,45,56,24,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney,Public insurance - Department of VA,"2,915",9,233,243,192,212,183,146,164,159,151,152,117,145,118,122,116,100,69,67,49,41,42,29,13,12,10,8,8,0,1,0,2,2,0
All Donor Types,Kidney,Public insurance - Medicaid,"25,329",61,"1,555","1,604","1,541","1,380","1,313","1,235",894,810,751,828,872,840,913,997,"1,038",969,846,820,797,795,691,670,673,604,683,588,462,44,17,11,11,7,9
All Donor Types,Kidney,Public insurance - Medicare & Choice,"47,079",164,"3,518","3,505","3,105","2,969","3,224","2,619","2,371","2,452","2,670","2,697","2,818","2,713","2,656","2,740","2,360","2,467","1,778",87,78,37,17,6,6,7,7,4,0,0,1,1,2,0,0
All Donor Types,Kidney,Public insurance - Medicare FFS (Fee for Service),"124,483",359,"9,581","10,279","9,355","8,754","8,142","8,057","7,643","7,357","6,799","6,791","6,483","6,324","5,962","5,924","6,332","6,025","3,771",179,131,115,53,24,11,7,6,6,2,2,0,5,2,0,2
All Donor Types,Kidney,Public insurance - Medicare Unspecified,"67,743",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,662","7,228","7,106","6,897","6,449","6,211","6,348","6,600","6,294","6,338","5,076",211,106,55,98,39,25
All Donor Types,Kidney,Public insurance - Other government,"2,321",7,193,258,229,148,142,125,106,118,97,106,88,109,105,98,112,169,106,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Kidney,Self,"1,065",0,11,19,21,12,22,24,25,30,27,26,35,34,25,47,45,33,25,39,45,55,64,55,58,64,102,66,39,5,4,4,2,1,1
All Donor Types,Kidney,US/State Govt Agency,"1,838",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,171,175,187,149,178,166,177,189,211,171,3,4,5,0,1,0
All Donor Types,Kidney,Unknown,"60,016",888,439,3,2,1,0,0,0,2,0,0,0,0,0,6,0,1,1,1,2,1,2,23,82,49,180,248,"2,293","9,964","9,570","9,571","9,272","8,591","8,824"
All Donor Types,Liver,All Primary Payers,"182,705",729,"8,906","8,896","8,250","8,082","7,841","7,127","6,730","6,455","6,256","6,342","6,291","6,320","6,319","6,494","6,651","6,444","6,171","5,673","5,332","5,195","5,001","4,757","4,519","4,189","4,087","3,934","3,652","3,440","3,064","2,953","2,690","2,202","1,713"
All Donor Types,Liver,Donation,68,0,2,2,0,1,1,0,1,2,0,1,1,9,3,4,0,3,3,2,1,3,3,6,4,4,6,4,1,0,0,1,0,0,0
All Donor Types,Liver,Foreign Government Specify,831,1,23,31,27,44,47,61,62,35,36,33,35,26,20,24,15,20,6,21,35,64,43,45,12,17,16,23,6,2,0,0,0,0,1
All Donor Types,Liver,Free Care,448,0,9,8,8,10,7,6,6,14,4,12,8,22,17,13,12,24,23,14,15,27,26,26,29,24,24,27,28,1,3,1,0,0,0
All Donor Types,Liver,Pending,4,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Liver,Private insurance,"94,495",140,"4,343","4,440","3,977","3,978","3,944","3,721","3,524","3,420","3,430","3,530","3,532","3,646","3,736","3,845","3,954","3,862","3,783","3,583","3,512","3,378","3,279","3,106","2,970","2,657","2,510","2,474","1,793",115,78,78,56,60,41
All Donor Types,Liver,Public insurance - CHIP (Children's Health Insurance Program),499,1,30,40,34,27,28,26,25,26,26,31,48,32,26,31,28,21,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
All Donor Types,Liver,Public insurance - Department of VA,"2,870",9,158,166,170,184,164,144,142,139,146,114,129,136,110,113,164,140,98,80,75,68,51,46,36,27,17,21,13,5,3,1,0,1,0
All Donor Types,Liver,Public insurance - Medicaid,"27,416",43,"1,573","1,546","1,484","1,427","1,297","1,174","1,103","1,008",965,"1,045","1,051","1,069","1,040","1,036","1,134","1,078","1,000",877,799,762,708,699,682,710,762,680,593,24,17,17,6,2,5
