Center,Center_Code,Center_Name,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
All Centers,All Centers,All Centers,"91,242","11,896",897.0,"1,702","3,515"
All Centers,All Centers,All Centers,"1,268",99,6.0,9,21
All Centers,All Centers,All Centers,131,18,1.0,4,1
All Centers,All Centers,All Centers,"1,126",127,7.0,17,27
All Centers,All Centers,All Centers,416,59,5.0,7,39
All Centers,All Centers,All Centers,"18,269","2,187",58.0,221,250
All Centers,All Centers,All Centers,"1,207",172,15.0,21,48
All Centers,All Centers,All Centers,965,198,9.0,4,66
All Centers,All Centers,All Centers,371,49,1.0,4,15
All Centers,All Centers,All Centers,221,39,4.0,5,5
All Centers,All Centers,All Centers,"3,943",475,22.0,65,193
All Centers,All Centers,All Centers,"3,644",324,12.0,43,105
All Centers,All Centers,All Centers,589,32,3.0,2,1
All Centers,All Centers,All Centers,216,71,1.0,1,16
All Centers,All Centers,All Centers,"3,651",287,60.0,103,196
All Centers,All Centers,All Centers,"1,065",112,12.0,21,97
All Centers,All Centers,All Centers,432,60,8.0,12,39
All Centers,All Centers,All Centers,364,77,1.0,5,22
All Centers,All Centers,All Centers,765,147,6.0,27,45
All Centers,All Centers,All Centers,"1,475",116,4.0,26,66
All Centers,All Centers,All Centers,231,78,3.0,2,22
All Centers,All Centers,All Centers,"2,265",646,27.0,43,121
All Centers,All Centers,All Centers,"2,844",688,30.0,53,104
All Centers,All Centers,All Centers,"2,185",256,38.0,37,143
All Centers,All Centers,All Centers,"1,561",133,85.0,126,65
All Centers,All Centers,All Centers,"1,104",71,0.0,11,39
All Centers,All Centers,All Centers,"1,078",123,4.0,20,48
All Centers,All Centers,All Centers,134,20,0.0,7,7
All Centers,All Centers,All Centers,195,49,3.0,2,25
All Centers,All Centers,All Centers,471,89,2.0,4,12
All Centers,All Centers,All Centers,312,78,3.0,7,17
All Centers,All Centers,All Centers,"2,858",337,29.0,48,103
All Centers,All Centers,All Centers,618,66,5.0,3,13
All Centers,All Centers,All Centers,"7,316",739,153.0,143,297
All Centers,All Centers,All Centers,"2,749",148,50.0,82,90
All Centers,All Centers,All Centers,158,17,4.0,7,15
All Centers,All Centers,All Centers,"2,071",446,25.0,49,167
All Centers,All Centers,All Centers,471,118,2.0,16,29
All Centers,All Centers,All Centers,529,74,2.0,12,21
All Centers,All Centers,All Centers,"4,279",422,48.0,101,106
All Centers,All Centers,All Centers,361,32,0.0,5,3
All Centers,All Centers,All Centers,307,61,2.0,2,21
All Centers,All Centers,All Centers,"1,496",121,12.0,48,63
All Centers,All Centers,All Centers,266,36,3.0,9,7
All Centers,All Centers,All Centers,304,55,8.0,10,15
All Centers,All Centers,All Centers,"1,826",191,11.0,22,53
All Centers,All Centers,All Centers,"8,021","1,246",34.0,79,330
All Centers,All Centers,All Centers,370,113,2.0,10,31
All Centers,All Centers,All Centers,81,42,2.0,0,8
All Centers,All Centers,All Centers,"2,384",254,38.0,65,140
All Centers,All Centers,All Centers,"1,267",173,9.0,40,63
All Centers,All Centers,All Centers,245,79,2.0,10,17
All Centers,All Centers,All Centers,"1,088",246,27.0,32,64
All Centers,All Centers,All Centers,94,13,0.0,3,4
ALCH-TX1 Children's of Alabama,ALCH-TX1,Children's of Alabama,15,2,0.0,0,6
ALCH-TX1 Children's of Alabama,ALCH-TX1,Children's of Alabama,13,2,0.0,0,5
ALCH-TX1 Children's of Alabama,ALCH-TX1,Children's of Alabama,2,0,0.0,0,1
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,"1,031",102,5.0,9,15
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,769,67,5.0,5,12
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,1,0,0.0,0,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,1,0,0.0,0,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,0,1,0.0,0,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,40,8,0.0,1,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,73,8,0.0,0,2
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,1,0,0.0,0,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,97,10,0.0,0,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,1,0,0.0,0,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,33,0,0.0,1,0
ALUA-TX1 University of Alabama Hospital,ALUA-TX1,University of Alabama Hospital,15,8,0.0,2,1
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,55,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,16,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,9,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,4,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,1,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,11,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,1,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,1,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,5,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,4,0,0.0,0,0
ALVA-TX1 Birmingham VA Medical Center,ALVA-TX1,Birmingham VA Medical Center,3,0,0.0,0,0
ARBH-TX1 Baptist Medical Center,ARBH-TX1,Baptist Medical Center,0,0,0.0,0,28
ARBH-TX1 Baptist Medical Center,ARBH-TX1,Baptist Medical Center,0,0,0.0,0,28
ARCH-TX1 Arkansas Children's Hospital,ARCH-TX1,Arkansas Children's Hospital,4,0,0.0,0,2
ARCH-TX1 Arkansas Children's Hospital,ARCH-TX1,Arkansas Children's Hospital,4,0,0.0,0,2
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,179,31,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,171,31,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,1,0,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,1,0,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,1,0,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,1,0,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,3,0,0.0,0,0
ARUA-TX1 UAMS Medical Center,ARUA-TX1,UAMS Medical Center,1,0,0.0,0,0
AZCH-TX1 Phoenix Children's Hospital,AZCH-TX1,Phoenix Children's Hospital,19,6,0.0,0,4
AZCH-TX1 Phoenix Children's Hospital,AZCH-TX1,Phoenix Children's Hospital,18,6,0.0,0,3
AZCH-TX1 Phoenix Children's Hospital,AZCH-TX1,Phoenix Children's Hospital,0,0,0.0,0,1
AZCH-TX1 Phoenix Children's Hospital,AZCH-TX1,Phoenix Children's Hospital,1,0,0.0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,AZGS-TX1,Banner-University Medical Center Phoenix,379,28,3.0,2,6
AZGS-TX1 Banner-University Medical Center Phoenix,AZGS-TX1,Banner-University Medical Center Phoenix,373,28,3.0,2,6
AZGS-TX1 Banner-University Medical Center Phoenix,AZGS-TX1,Banner-University Medical Center Phoenix,3,0,0.0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,AZGS-TX1,Banner-University Medical Center Phoenix,1,0,0.0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,AZGS-TX1,Banner-University Medical Center Phoenix,2,0,0.0,0,0
AZHH-TX1 Phoenix Regional Medical Center,AZHH-TX1,Phoenix Regional Medical Center,11,0,0.0,0,0
AZHH-TX1 Phoenix Regional Medical Center,AZHH-TX1,Phoenix Regional Medical Center,11,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,763,135,2.0,16,18
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,3,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,474,48,1.0,11,13
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,3,1,0.0,1,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,109,25,0.0,2,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,10,11,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,3,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,3,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,4,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,6,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,5,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,0,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,4,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,4,0,0.0,0,2
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,2,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,1,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,1,0,0.0,0,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,54,6,1.0,1,0
AZMC-TX1 Mayo Clinic Hospital,AZMC-TX1,Mayo Clinic Hospital,32,13,0.0,0,1
