Region,Organ,Recipient_Diagnose_Category,Years_Post_Transplant,Number_Functioning_or_Alive,Survival_Rate
U.S.,Heart,Cardiomyopathy,1 Year,5035,92
U.S.,Heart,Coronary Artery Disease,1 Year,2803,89.9
U.S.,Heart,Retransplant/Graft Failure,1 Year,310,86.2
U.S.,Heart,Valvular Heart Disease,1 Year,110,91
U.S.,Heart,Other,1 Year,187,94.5
U.S.,Heart,Cardiomyopathy,3 Year,4183,87.1
U.S.,Heart,Congenital Heart Disease,3 Year,11,68.8
U.S.,Heart,Coronary Artery Disease,3 Year,2495,83.7
U.S.,Heart,Retransplant/Graft Failure,3 Year,282,76
U.S.,Heart,Valvular Heart Disease,3 Year,108,88.7
U.S.,Heart,Other,3 Year,218,87.3
U.S.,Heart,Cardiomyopathy,5 Year,3518,80.7
U.S.,Heart,Congenital Heart Disease,5 Year,10,76.9
U.S.,Heart,Coronary Artery Disease,5 Year,2126,75.5
U.S.,Heart,Retransplant/Graft Failure,5 Year,224,68.3
U.S.,Heart,Valvular Heart Disease,5 Year,110,82.9
U.S.,Heart,Other,5 Year,225,82.2
U.S.,Kidney,Retransplant/Graft Failure,1 Year,4704,97.2
U.S.,Kidney,"Congenital, Rare, Familial, an",1 Year,1940,99
U.S.,Kidney,Glomerular Disease,1 Year,14792,98.5
U.S.,Kidney,Hypertensive Nephrosclerosis,1 Year,12730,97.1
U.S.,Kidney,Neoplasms,1 Year,260,96
U.S.,Kidney,Polycystic Kidneys,1 Year,5741,98.1
U.S.,Kidney,Renovascular and Other Vascula,1 Year,949,97.7
U.S.,Kidney,Tubular and Interstitial Disea,1 Year,2660,96.2
U.S.,Kidney,Other,1 Year,3950,97.6
U.S.,Kidney,Retransplant/Graft Failure,3 Year,3754,93.5
U.S.,Kidney,"Congenital, Rare, Familial, an",3 Year,1752,97.7
U.S.,Kidney,Glomerular Disease,3 Year,13463,96
U.S.,Kidney,Hypertensive Nephrosclerosis,3 Year,11503,92.4
U.S.,Kidney,Neoplasms,3 Year,235,93.5
U.S.,Kidney,Polycystic Kidneys,3 Year,5470,95.8
U.S.,Kidney,Renovascular and Other Vascula,3 Year,959,93.5
U.S.,Kidney,Tubular and Interstitial Disea,3 Year,2592,91.7
U.S.,Kidney,Other,3 Year,3588,93.6
U.S.,Kidney,Retransplant/Graft Failure,5 Year,3169,88.5
U.S.,Kidney,"Congenital, Rare, Familial, an",5 Year,1508,95
U.S.,Kidney,Glomerular Disease,5 Year,11905,92.3
U.S.,Kidney,Hypertensive Nephrosclerosis,5 Year,10071,85.3
U.S.,Kidney,Neoplasms,5 Year,206,85.3
U.S.,Kidney,Polycystic Kidneys,5 Year,4943,92.8
