Center,Center_Code,Center_Name,States,Time_Waited,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart
All Centers,All Centers,All Centers,All Center States,All Time,"91,242","11,896",897.0,"1,702","3,515"
All Centers,All Centers,All Centers,All Center States,< 30 Days,"3,281",878,50.0,127,329
All Centers,All Centers,All Centers,All Center States,30 to < 90 Days,"4,979","1,032",58.0,149,365
All Centers,All Centers,All Centers,All Center States,90 Days to < 6 Months,"8,158","1,563",90.0,236,445
All Centers,All Centers,All Centers,All Center States,6 Months to < 1 Year,"11,530","1,976",110.0,302,482
All Centers,All Centers,All Centers,All Center States,1 Year to < 2 Years,"22,361","2,500",194.0,446,746
All Centers,All Centers,All Centers,All Center States,2 Years to < 3 Years,"15,490","1,295",122.0,197,520
All Centers,All Centers,All Centers,All Center States,3 Years to < 5 Years,"16,635","1,304",129.0,154,418
All Centers,All Centers,All Centers,All Center States,5 or More Years,"13,616","1,461",147.0,122,234
All Centers,All Centers,All Centers,Alabama,All Time,"1,099",104,5.0,9,21
All Centers,All Centers,All Centers,Alabama,< 30 Days,37,2,0.0,3,3
All Centers,All Centers,All Centers,Alabama,30 to < 90 Days,53,15,0.0,0,1
All Centers,All Centers,All Centers,Alabama,90 Days to < 6 Months,87,11,0.0,1,1
All Centers,All Centers,All Centers,Alabama,6 Months to < 1 Year,102,20,0.0,3,6
All Centers,All Centers,All Centers,Alabama,1 Year to < 2 Years,221,23,2.0,1,5
All Centers,All Centers,All Centers,Alabama,2 Years to < 3 Years,167,21,2.0,1,4
All Centers,All Centers,All Centers,Alabama,3 Years to < 5 Years,170,8,0.0,0,1
All Centers,All Centers,All Centers,Alabama,5 or More Years,264,4,1.0,0,0
All Centers,All Centers,All Centers,Arizona,All Time,"1,397",200,5.0,19,29
All Centers,All Centers,All Centers,Arizona,< 30 Days,63,30,1.0,3,7
All Centers,All Centers,All Centers,Arizona,30 to < 90 Days,101,40,0.0,3,7
All Centers,All Centers,All Centers,Arizona,90 Days to < 6 Months,131,31,0.0,4,3
All Centers,All Centers,All Centers,Arizona,6 Months to < 1 Year,208,30,0.0,5,6
All Centers,All Centers,All Centers,Arizona,1 Year to < 2 Years,282,37,1.0,1,3
All Centers,All Centers,All Centers,Arizona,2 Years to < 3 Years,227,12,1.0,1,1
All Centers,All Centers,All Centers,Arizona,3 Years to < 5 Years,226,3,1.0,1,2
All Centers,All Centers,All Centers,Arizona,5 or More Years,160,17,1.0,1,0
All Centers,All Centers,All Centers,Arkansas,All Time,183,31,0.0,0,30
All Centers,All Centers,All Centers,Arkansas,< 30 Days,16,2,0.0,0,1
All Centers,All Centers,All Centers,Arkansas,30 to < 90 Days,13,3,0.0,0,2
All Centers,All Centers,All Centers,Arkansas,90 Days to < 6 Months,22,4,0.0,0,0
All Centers,All Centers,All Centers,Arkansas,6 Months to < 1 Year,39,6,0.0,0,2
All Centers,All Centers,All Centers,Arkansas,1 Year to < 2 Years,41,9,0.0,0,3
All Centers,All Centers,All Centers,Arkansas,2 Years to < 3 Years,23,1,0.0,0,8
All Centers,All Centers,All Centers,Arkansas,3 Years to < 5 Years,17,4,0.0,0,9
All Centers,All Centers,All Centers,Arkansas,5 or More Years,12,2,0.0,0,5
All Centers,All Centers,All Centers,California,All Time,"18,702","2,261",61.0,223,281
All Centers,All Centers,All Centers,California,< 30 Days,353,103,2.0,13,36
All Centers,All Centers,All Centers,California,30 to < 90 Days,666,134,2.0,11,30
All Centers,All Centers,All Centers,California,90 Days to < 6 Months,"1,255",258,3.0,25,47
All Centers,All Centers,All Centers,California,6 Months to < 1 Year,"1,885",353,5.0,41,43
All Centers,All Centers,All Centers,California,1 Year to < 2 Years,"3,754",473,11.0,61,49
All Centers,All Centers,All Centers,California,1 Year to < 2 Years,"3,754",473,11.0,61,49
All Centers,All Centers,All Centers,California,2 Years to < 3 Years,"3,047",251,9.0,22,33
All Centers,All Centers,All Centers,California,3 Years to < 5 Years,"3,991",270,10.0,21,32
All Centers,All Centers,All Centers,California,5 or More Years,"4,395",424,19.0,29,15
All Centers,All Centers,All Centers,Colorado,All Time,"1,332",202,12.0,24,59
All Centers,All Centers,All Centers,Colorado,< 30 Days,46,28,0.0,1,1
All Centers,All Centers,All Centers,Colorado,30 to < 90 Days,69,20,4.0,3,4
All Centers,All Centers,All Centers,Colorado,90 Days to < 6 Months,132,21,0.0,1,4
All Centers,All Centers,All Centers,Colorado,6 Months to < 1 Year,153,26,3.0,7,10
All Centers,All Centers,All Centers,Colorado,1 Year to < 2 Years,309,27,2.0,5,18
All Centers,All Centers,All Centers,Colorado,2 Years to < 3 Years,188,18,0.0,0,17
All Centers,All Centers,All Centers,Colorado,3 Years to < 5 Years,277,29,3.0,6,3
All Centers,All Centers,All Centers,Colorado,5 or More Years,165,34,0.0,1,2
All Centers,All Centers,All Centers,Connecticut,All Time,952,184,2.0,1,59
All Centers,All Centers,All Centers,Connecticut,< 30 Days,21,11,0.0,0,12
All Centers,All Centers,All Centers,Connecticut,30 to < 90 Days,49,11,0.0,0,5
All Centers,All Centers,All Centers,Connecticut,90 Days to < 6 Months,87,24,0.0,0,11
All Centers,All Centers,All Centers,Connecticut,6 Months to < 1 Year,161,28,0.0,0,14
All Centers,All Centers,All Centers,Connecticut,1 Year to < 2 Years,234,45,0.0,0,9
All Centers,All Centers,All Centers,Connecticut,2 Years to < 3 Years,127,26,0.0,0,5
All Centers,All Centers,All Centers,Connecticut,3 Years to < 5 Years,152,20,1.0,0,3
