Region,Organ,Donor,Years,Number Functioning /,Survival,95% Confidence
,,Type,Post Transplant,Alive,Rate,Interval
U.S.,Kidney,Cadaveric,1 Year,42355,93.2,"(93.0, 93.4)"
U.S.,Kidney,Living,1 Year,21709,97.5,"(97.3, 97.7)"
U.S.,Kidney,Cadaveric,3 Year,35404,85.1,"(84.7, 85.4)"
U.S.,Kidney,Living,3 Year,20611,92.5,"(92.2, 92.9)"
U.S.,Kidney,Cadaveric,5 Year,28612,74.4,"(74.0, 74.8)"
U.S.,Kidney,Living,5 Year,18723,85.6,"(85.1, 86.0)"
U.S.,Liver,Cadaveric,1 Year,22397,89.1,"(88.7, 89.5)"
U.S.,Liver,Living,1 Year,992,88,"(86.0, 89.8)"
U.S.,Liver,Cadaveric,3 Year,18876,80,"(79.5, 80.5)"
U.S.,Liver,Living,3 Year,818,82,"(79.5, 84.2)"
U.S.,Liver,Cadaveric,5 Year,16520,71.9,"(71.3, 72.4)"
U.S.,Liver,Living,5 Year,741,77.3,"(74.6, 79.8)"
U.S.,Lung,Cadaveric,1 Year,6619,86.7,"(85.9, 87.4)"
U.S.,Lung,Living,1 Year,1,*,"(., .)"
U.S.,Lung,Cadaveric,3 Year,4878,67.8,"(66.7, 68.9)"
U.S.,Lung,Living,3 Year,2,*,"(., .)"
U.S.,Lung,Cadaveric,5 Year,3465,52.5,"(51.3, 53.7)"
U.S.,Lung,Living,5 Year,1,*,"(., .)"
