,,,All Organs,Kidney,Liver,Heart
All Centers,All Types,,244,183,31,30
,Liver Status 7 (Inactive),,7,0,7,0
,Liver MELD / PELD <15,,14,0,14,0
,Liver MELD / PELD 15-19,,6,0,6,0
,Liver MELD / PELD 20-24,,4,0,4,0
,Heart Status 1A,,1,0,0,1
,Heart Status 7 (Inactive),,11,0,0,11
,Adult Status 1,,1,0,0,1
,Adult Status 2,,1,0,0,1
,Adult Status 4,,16,0,0,16
,Kidney/Pancreas/Kidney-Pancreas: Active,,122,122,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,61,61,0,0
ARBH-TX1 Baptist Medical Center,All Types,,28,0,0,28
,Heart Status 7 (Inactive),,11,0,0,11
,Adult Status 1,,1,0,0,1
,Adult Status 2,,1,0,0,1
,Adult Status 4,,15,0,0,15
ARCH-TX1 Arkansas Children's Hospital,All Types,,6,4,0,2
,Heart Status 1A,,1,0,0,1
,Adult Status 4,,1,0,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,3,3,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,1,1,0,0
ARUA-TX1 UAMS Medical Center,All Types,,210,179,31,0
,Liver Status 7 (Inactive),,7,0,7,0
,Liver MELD / PELD <15,,14,0,14,0
,Liver MELD / PELD 15-19,,6,0,6,0
,Liver MELD / PELD 20-24,,4,0,4,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,119,119,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,60,60,0,0
