,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine
All Centers,All Types,,"21,319","18,702","2,261",61,223,281,141,8,34
,Liver Status 1A,,1,0,1,0,0,0,0,0,0
,Liver Status 1B,,1,0,1,0,0,0,0,0,0
,Liver Status 7 (Inactive),,667,0,667,0,0,0,0,0,0
,Liver MELD / PELD <15,,827,0,827,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,288,0,288,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,171,0,171,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,283,0,283,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,15,0,15,0,0,0,0,0,0
,Liver MELD / PELD 35+,,14,0,14,0,0,0,0,0,0
,Heart Status 1A,,6,0,0,0,0,6,0,0,0
,Heart Status 1B,,9,0,0,0,0,9,0,0,0
,Heart Status 2,,9,0,0,0,0,9,0,0,0
,Heart Status 7 (Inactive),,64,0,0,0,0,64,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 2,,10,0,0,0,0,10,0,0,0
,Adult Status 3,,27,0,0,0,0,27,0,0,0
,Adult Status 4,,94,0,0,0,0,94,0,0,0
,Adult Status 5,,16,0,0,0,0,16,0,0,0
,Adult Status 6,,48,0,0,0,0,48,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 20 to < 30,,1,0,0,0,0,0,1,1,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,25,0,0,0,0,0,25,1,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,36,0,0,0,0,0,36,1,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,24,0,0,0,0,0,24,3,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,19,0,0,0,0,0,19,1,0
,Lung/Heart-Lung: Inactive,,38,0,0,0,0,0,38,1,0
,Intestine Status 1,,5,0,0,0,0,0,0,0,5
,Intestine Non-urgent,,19,0,0,0,0,0,0,0,19
,Intestine Temporarily inactive,,10,0,0,0,0,0,0,0,10
,Kidney/Pancreas/Kidney-Pancreas: Active,,"10,587","10,501",0,24,90,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,1,1,0,0,0,0,0,0,0
