,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All Centers,All Types,,"1,601","1,332",202,12,24,59,11
,Liver Status 1B,,1,0,1,0,0,0,0
,Liver Status 7 (Inactive),,97,0,97,0,0,0,0
,Liver MELD / PELD <15,,34,0,34,0,0,0,0
,Liver MELD / PELD 15-19,,31,0,31,0,0,0,0
,Liver MELD / PELD 20-24,,19,0,19,0,0,0,0
,Liver MELD / PELD 25-29,,19,0,19,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0
,Heart Status 1A,,5,0,0,0,0,5,0
,Heart Status 1B,,1,0,0,0,0,1,0
,Heart Status 2,,1,0,0,0,0,1,0
,Heart Status 7 (Inactive),,21,0,0,0,0,21,0
,Adult Status 3,,1,0,0,0,0,1,0
,Adult Status 4,,12,0,0,0,0,12,0
,Adult Status 6,,18,0,0,0,0,18,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Inactive,,6,0,0,0,0,0,6
,Kidney/Pancreas/Kidney-Pancreas: Active,,689,677,0,0,13,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,666,659,0,12,11,0,0
COCH-TX1 Children's Hospital Colorado,All Types,,41,27,4,0,0,11,0
,Liver Status 1B,,1,0,1,0,0,0,0
,Liver MELD / PELD <15,,1,0,1,0,0,0,0
,Liver MELD / PELD 15-19,,1,0,1,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0
,Heart Status 1A,,5,0,0,0,0,5,0
,Heart Status 1B,,1,0,0,0,0,1,0
,Heart Status 2,,1,0,0,0,0,1,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0
,Adult Status 4,,1,0,0,0,0,1,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,3,3,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,24,24,0,0,0,0,0
COPM-TX1 Centura Transplant,All Types,,128,115,17,0,0,0,0
,Liver Status 7 (Inactive),,4,0,4,0,0,0,0
,Liver MELD / PELD <15,,6,0,6,0,0,0,0
,Liver MELD / PELD 20-24,,5,0,5,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,75,75,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,40,40,0,0,0,0,0
COSL-TX1 Presbyterian/St Luke's Medical Center,All Types,,411,349,68,0,0,0,0
,Liver Status 7 (Inactive),,8,0,8,0,0,0,0
,Liver MELD / PELD <15,,16,0,16,0,0,0,0
,
,Liver MELD / PELD 15-19,,17,0,17,0,0,0,0
,Liver MELD / PELD 20-24,,9,0,9,0,0,0,0
,Liver MELD / PELD 25-29,,16,0,16,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,150,150,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,199,199,0,0,0,0,0
COUC-TX1 University of Colorado Hospital/Health Science Center,All Types,,"1,029",849,114,12,24,48,11
,Liver Status 7 (Inactive),,85,0,85,0,0,0,0
,Liver MELD / PELD <15,,11,0,11,0,0,0,0
,Liver MELD / PELD 15-19,,13,0,13,0,0,0,0
,Liver MELD / PELD 20-24,,5,0,5,0,0,0,0
,Heart Status 7 (Inactive),,18,0,0,0,0,18,0
,Adult Status 3,,1,0,0,0,0,1,0
,Adult Status 4,,11,0,0,0,0,11,0
,Adult Status 6,,18,0,0,0,0,18,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Inactive,,6,0,0,0,0,0,6
,Kidney/Pancreas/Kidney-Pancreas: Active,,464,452,0,0,13,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,404,397,0,12,11,0,0
