,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Intestine
All Centers,All Types,,"1,564","1,257",241,28,42,38,16
,Liver Status 7 (Inactive),,38,0,38,0,0,0,0
,Liver MELD / PELD <15,,139,0,139,0,0,0,0
,Liver MELD / PELD 15-19,,30,0,30,0,0,0,0
,Liver MELD / PELD 20-24,,15,0,15,0,0,0,0
,Liver MELD / PELD 25-29,,13,0,13,0,0,0,0
,Liver MELD / PELD 35+,,6,0,6,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0
,Heart Status 1B,,2,0,0,0,0,2,0
,Heart Status 7 (Inactive),,9,0,0,0,0,9,0
,Adult Status 2,,1,0,0,0,0,1,0
,Adult Status 3,,1,0,0,0,0,1,0
,Adult Status 4,,23,0,0,0,0,23,0
,Adult Status 6,,1,0,0,0,0,1,0
,Intestine Status 1,,12,0,0,0,0,0,12
,Intestine Temporarily inactive,,4,0,0,0,0,0,4
,Kidney/Pancreas/Kidney-Pancreas: Active,,706,688,0,9,13,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,615,576,0,19,29,0,0
DCCH-TX1 Children's National Medical Center,All Types,,28,25,0,0,0,3,0
,Heart Status 1A,,1,0,0,0,0,1,0
,Heart Status 1B,,2,0,0,0,0,2,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,7,7,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,18,18,0,0,0,0,0
DCGU-TX1 Medstar Georgetown Transplant Institute,All Types,,"1,012",746,241,24,42,0,16
,Liver Status 7 (Inactive),,38,0,38,0,0,0,0
,Liver MELD / PELD <15,,139,0,139,0,0,0,0
,Liver MELD / PELD 15-19,,30,0,30,0,0,0,0
,Liver MELD / PELD 20-24,,15,0,15,0,0,0,0
,Liver MELD / PELD 25-29,,13,0,13,0,0,0,0
,Liver MELD / PELD 35+,,6,0,6,0,0,0,0
,Intestine Status 1,,12,0,0,0,0,0,12
,Intestine Temporarily inactive,,4,0,0,0,0,0,4
,Kidney/Pancreas/Kidney-Pancreas: Active,,409,391,0,9,13,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,390,355,0,15,29,0,0
DCGW-TX1 George Washington University Hospital,All Types,,270,270,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,235,235,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,35,35,0,0,0,0,0
DCWH-TX1 Washington Hospital Center,All Types,,35,0,0,0,0,35,0
,Heart Status 7 (Inactive),,9,0,0,0,0,9,0
,Adult Status 2,,1,0,0,0,0,1,0
,Adult Status 3,,1,0,0,0,0,1,0
,Adult Status 4,,23,0,0,0,0,23,0
,
,Adult Status 6,,1,0,0,0,0,1,0
DCWR-TX1 Walter Reed National Military Medical Center at Bethesda,All Types,,235,231,0,4,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,62,62,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,173,169,0,4,0,0,0
