,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall
All Centers,All Types,,"5,007","4,259",473,27,76,204,56,1,20,2
,Liver Status 7 (Inactive),,98,0,98,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,186,0,186,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,92,0,92,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,75,0,75,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,11,0,11,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,3,0,3,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,10,0,10,0,0,0,0,0,0,0
,Heart Status 1A,,14,0,0,0,0,14,0,0,0,0
,Heart Status 1B,,3,0,0,0,0,3,0,0,0,0
,Heart Status 2,,14,0,0,0,0,14,0,0,0,0
,Heart Status 7 (Inactive),,41,0,0,0,0,41,0,0,0,0
,Adult Status 2,,8,0,0,0,0,8,0,0,0,0
,Adult Status 3,,18,0,0,0,0,18,0,0,0,0
,Adult Status 4,,77,0,0,0,0,77,0,0,0,0
,Adult Status 5,,4,0,0,0,0,4,0,0,0,0
,Adult Status 6,,25,0,0,0,0,25,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,22,0,0,0,0,0,22,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,12,0,0,0,0,0,12,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,11,0,0,0,0,0,11,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,4,0,0,0,0,0,4,0,0,0
,Lung/Heart-Lung: Inactive,,7,0,0,0,0,0,7,0,0,0
,Intestine Status 1,,14,0,0,0,0,0,0,0,14,0
,Intestine Temporarily inactive,,6,0,0,0,0,0,0,0,6,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"2,632","2,579",0,17,47,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,4,4,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,790","1,757",0,10,29,0,0,0,0,0
,VCA: Active,,2,0,0,0,0,0,0,0,0,2
FLAC-TX1 Johns Hopkins All Children's Hospital,All Types,,1,0,0,0,0,1,0,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0,0
FLBC-TX1 Broward Health Medical Center,All Types,,13,0,13,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,3,0,3,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,4,0,4,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,6,0,6,0,0,0,0,0,0,0
FLBF-TX1 Bert Fish Medical Center,All Types,,25,25,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,17,17,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,8,8,0,0,0,0,0,0,0,0
FLCC-TX1 Cleveland Clinic Florida Weston,All Types,,931,865,57,0,0,10,0,0,0,0
,Liver Status 7 (Inactive),,6,0,6,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,31,0,31,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,11,0,11,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,7,0,7,0,0,0,0,0,0,0
,
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0
,Adult Status 4,,4,0,0,0,0,4,0,0,0,0
,Adult Status 6,,3,0,0,0,0,3,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,665,665,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,200,200,0,0,0,0,0,0,0,0
FLFH-TX1 AdventHealth Orlando,All Types,,483,407,63,1,7,9,1,0,0,0
,Liver Status 7 (Inactive),,6,0,6,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,33,0,33,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,18,0,18,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,4,0,4,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,206,203,0,1,3,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,208,204,0,0,4,0,0,0,0,0
FLHM-TX1 Halifax Medical Center,All Types,,74,74,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,38,38,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,36,36,0,0,0,0,0,0,0,0
FLJD-TX1 Memorial Regional Hospital/Joe DiMaggio Children's Hospital,All Types,,2,0,0,0,0,2,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0,0,0,0
FLJM-TX1 Jackson Memorial Hospital University of Miami School of Medicine,All Types,,771,614,103,17,18,40,10,0,20,2
,Liver Status 7 (Inactive),,31,0,31,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,27,0,27,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,18,0,18,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,17,0,17,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,4,0,4,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,5,0,5,0,0,0,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0,0
,Heart Status 1B,,1,0,0,0,0,1,0,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0,0
,Heart Status 7 (Inactive),,13,0,0,0,0,13,0,0,0,0
,Adult Status 4,,18,0,0,0,0,18,0,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0,0
,
,Adult Status 6,,4,0,0,0,0,4,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,4,0,0,0,0,0,4,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,4,0,0,0,0,0,4,0,0,0
,Intestine Status 1,,14,0,0,0,0,0,0,0,14,0
,Intestine Temporarily inactive,,6,0,0,0,0,0,0,0,6,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,301,278,0,13,14,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,3,3,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,341,333,0,4,4,0,0,0,0,0
,VCA: Active,,2,0,0,0,0,0,0,0,0,2
FLLM-TX1 Largo Medical Center,All Types,,81,62,19,0,0,4,0,0,0,0
,Liver Status 7 (Inactive),,3,0,3,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,7,0,7,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,2,0,2,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,7,0,7,0,0,0,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0
,Adult Status 4,,1,0,0,0,0,1,0,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,49,49,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,13,13,0,0,0,0,0,0,0,0
FLMR-TX1 Memorial Regional Hospital,All Types,,97,84,0,0,0,13,0,0,0,0
