,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,All Genders,,"107,888","91,242","11,896",897,"1,702","3,515",983,48,212,3,2,6,3,3,1
,Male,,"66,481","56,295","7,204",441,924,"2,650",398,26,107,2,2,0,1,2,0
,Female,,"41,434","34,970","4,692",456,779,865,585,22,105,1,0,6,2,1,1
ALCH-TX1 Children's of Alabama,All Genders,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
,Male,,15,12,2,0,0,2,0,0,0,0,0,0,0,0,0
,Female,,7,3,0,0,0,4,0,0,0,0,0,0,0,0,0
ALUA-TX1 University of Alabama Hospital,All Genders,,"1,152","1,031",102,5,9,15,8,0,0,0,0,0,0,0,0
,Male,,655,591,46,3,5,11,4,0,0,0,0,0,0,0,0
,Female,,497,440,56,2,4,4,4,0,0,0,0,0,0,0,0
ALVA-TX1 Birmingham VA Medical Center,All Genders,,55,55,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,47,47,0,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ARBH-TX1 Baptist Medical Center,All Genders,,28,0,0,0,0,28,0,0,0,0,0,0,0,0,0
,Male,,23,0,0,0,0,23,0,0,0,0,0,0,0,0,0
,Female,,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0
ARCH-TX1 Arkansas Children's Hospital,All Genders,,6,4,0,0,0,2,0,0,0,0,0,0,0,0,0
,Male,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
,Female,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0
ARUA-TX1 UAMS Medical Center,All Genders,,210,179,31,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,109,92,17,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,101,87,14,0,0,0,0,0,0,0,0,0,0,0,0
AZCH-TX1 Phoenix Children's Hospital,All Genders,,29,19,6,0,0,4,0,0,0,0,0,0,0,0,0
,Male,,16,13,1,0,0,2,0,0,0,0,0,0,0,0,0
,Female,,13,6,5,0,0,2,0,0,0,0,0,0,0,0,0
AZGS-TX1 Banner-University Medical Center Phoenix,All Genders,,412,379,28,3,2,6,0,0,0,0,0,0,0,0,0
,Male,,252,230,17,1,2,4,0,0,0,0,0,0,0,0,0
,Female,,160,149,11,2,0,2,0,0,0,0,0,0,0,0,0
AZHH-TX1 Phoenix Regional Medical Center,All Genders,,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0
AZMC-TX1 Mayo Clinic Hospital,All Genders,,921,763,135,2,16,18,0,0,0,0,0,0,0,0,0
,Male,,555,466,76,1,7,12,0,0,0,0,0,0,0,0,0
,Female,,366,297,59,1,9,6,0,0,0,0,0,0,0,0,0
AZSJ-TX1 St. Joseph's Hospital and Medical Center,All Genders,,136,102,22,0,0,0,15,0,0,0,0,0,0,0,0
,Male,,75,61,11,0,0,0,6,0,0,0,0,0,0,0,0
,Female,,61,41,11,0,0,0,9,0,0,0,0,0,0,0,0
AZSM-TX1 Scottsdale Healthcare Osborn,All Genders,,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
AZUA-TX1 Banner University Medical Center-Tucson,All Genders,,127,114,9,0,1,1,2,0,0,0,0,0,0,0,0
,Male,,75,68,5,0,1,1,0,0,0,0,0,0,0,0,0
,Female,,52,46,4,0,0,0,2,0,0,0,0,0,0,0,0
,
CABE-TX1 Saint Bernardine Medical Center,All Genders,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CACH-TX1 Rady Children's Hospital and Health Center,All Genders,,35,31,0,0,0,4,0,0,0,0,0,0,0,0,0
,Male,,19,17,0,0,0,2,0,0,0,0,0,0,0,0,0
,Female,,16,14,0,0,0,2,0,0,0,0,0,0,0,0,0
CACL-TX1 Childrens Hospital Los Angeles,All Genders,,67,28,31,0,0,8,0,0,0,0,0,0,0,0,0
,Male,,38,20,14,0,0,4,0,0,0,0,0,0,0,0,0
,Female,,29,8,17,0,0,4,0,0,0,0,0,0,0,0,0
CACS-TX1 Cedars-Sinai Medical Center,All Genders,,"1,408","1,192",132,3,12,92,13,0,0,0,0,0,0,0,0
,Male,,857,732,80,1,4,64,3,0,0,0,0,0,0,0,0
,Female,,551,460,52,2,8,28,10,0,0,0,0,0,0,0,0
CAGH-TX1 Scripps Green Hospital,All Genders,,472,417,55,3,10,0,0,0,0,0,0,0,0,0,0
,Male,,257,235,23,1,3,0,0,0,0,0,0,0,0,0,0
,Female,,215,182,32,2,7,0,0,0,0,0,0,0,0,0,0
CAIM-TX1 University of California Irvine Medical Center,All Genders,,743,738,0,0,5,0,0,0,0,0,0,0,0,0,0
,Male,,457,454,0,0,3,0,0,0,0,0,0,0,0,0,0
,Female,,286,284,0,0,2,0,0,0,0,0,0,0,0,0,0
CALA-TX1 Harbor UCLA Medical Center,All Genders,,509,509,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,315,315,0,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,194,194,0,0,0,0,0,0,0,0,0,0,0,0,0
CALB-TX1 St Mary Medical Center,All Genders,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALL-TX1 Loma Linda University Medical Center,All Genders,,"1,495","1,363",99,5,28,18,0,0,0,0,0,0,0,0,0
,Male,,974,900,60,1,13,11,0,0,0,0,0,0,0,0,0
,Female,,521,463,39,4,15,7,0,0,0,0,0,0,0,0,0
CAMB-TX1 UCSF Medical Center at Mission Bay,All Genders,,58,53,6,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,35,33,2,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,23,20,4,0,0,0,0,0,0,0,0,0,0,0,0
CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,All Genders,,161,137,14,3,0,11,0,0,6,0,0,0,0,0,0
,Male,,100,83,8,2,0,8,0,0,5,0,0,0,0,0,0
,Female,,61,54,6,1,0,3,0,0,1,0,0,0,0,0,0
CAPM-TX1 California Pacific Medical Center-Van Ness Campus,All Genders,,"2,121","1,879",245,2,30,8,0,0,0,0,0,0,0,0,0
,Male,,"1,303","1,156",145,2,15,6,0,0,0,0,0,0,0,0,0
,Female,,818,723,100,0,15,2,0,0,0,0,0,0,0,0,0
CASD-TX1 University of California San Diego Medical Center,All Genders,,968,807,136,0,0,36,5,1,0,0,0,0,0,0,0
,Male,,576,479,72,0,0,30,4,1,0,0,0,0,0,0,0
,Female,,392,328,64,0,0,6,1,0,0,0,0,0,0,0,0
CASF-TX1 University of California San Francisco Medical Center,All Genders,,"5,365","4,667",585,19,100,24,42,2,0,0,0,0,0,0,0
,Male,,"3,343","2,937",355,7,52,18,13,1,0,0,0,0,0,0,0
,Female,,"2,022","1,730",230,12,48,6,29,1,0,0,0,0,0,0,0
CASG-TX1 Sutter Medical Center Sacramento,All Genders,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0
,
,Male,,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0
,Female,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
CASH-TX1 Sharp Memorial Hospital,All Genders,,561,550,0,3,16,11,0,0,0,0,0,0,0,0,0
,Male,,341,334,0,2,11,7,0,0,0,0,0,0,0,0,0
,Female,,220,216,0,1,5,4,0,0,0,0,0,0,0,0,0
CASJ-TX1 Saint Joseph Hospital,All Genders,,357,357,0,0,0,0,0,0,0,0,0,0,0,0,0
,Male,,214,214,0,0,0,0,0,0,0,0,0,0,0,0,0
,Female,,143,143,0,0,0,0,0,0,0,0,0,0,0,0,0
CASM-TX1 University of California Davis Medical Center,All Genders,,"1,665","1,665",0,0,3,0,0,0,0,0,0,0,0,0,0
,Male,,"1,100","1,100",0,0,2,0,0,0,0,0,0,0,0,0,0
,Female,,565,565,0,0,1,0,0,0,0,0,0,0,0,0,0
CASU-TX1 Stanford Health Care,All Genders,,"2,082","1,834",224,1,9,17,31,5,1,0,0,0,0,0,0
,Male,,"1,311","1,168",135,1,7,13,15,3,1,0,0,0,0,0,0
