,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All Centers,All Types,,"4,416","4,006",331,5,35,90,5
,Liver Status 7 (Inactive),,86,0,86,0,0,0,0
,Liver MELD / PELD <15,,134,0,134,0,0,0,0
,Liver MELD / PELD 15-19,,60,0,60,0,0,0,0
,Liver MELD / PELD 20-24,,42,0,42,0,0,0,0
,Liver MELD / PELD 25-29,,4,0,4,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0
,Liver MELD / PELD 35+,,3,0,3,0,0,0,0
,Heart Status 1A,,2,0,0,0,0,2,0
,Heart Status 1B,,1,0,0,0,0,1,0
,Heart Status 2,,2,0,0,0,0,2,0
,Heart Status 7 (Inactive),,8,0,0,0,0,8,0
,Adult Status 2,,6,0,0,0,0,6,0
,Adult Status 3,,11,0,0,0,0,11,0
,Adult Status 4,,57,0,0,0,0,57,0
,Adult Status 6,,3,0,0,0,0,3,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1
,Lung/Heart-Lung: Inactive,,2,0,0,0,0,0,2
,Kidney/Pancreas/Kidney-Pancreas: Active,,"2,956","2,952",0,2,20,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,072","1,066",0,3,15,0,0
GAEH-TX1 Children's Healthcare of Atlanta at Egleston,All Types,,56,42,9,0,0,5,0
,Liver Status 7 (Inactive),,5,0,5,0,0,0,0
,Liver MELD / PELD <15,,1,0,1,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0
,Heart Status 1A,,2,0,0,0,0,2,0
,Heart Status 1B,,1,0,0,0,0,1,0
,Heart Status 2,,2,0,0,0,0,2,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,4,4,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,38,38,0,0,0,0,0
GAEM-TX1 Emory University Hospital,All Types,,"2,226","2,022",145,2,10,66,5
,Liver Status 7 (Inactive),,37,0,37,0,0,0,0
,Liver MELD / PELD <15,,59,0,59,0,0,0,0
,Liver MELD / PELD 15-19,,26,0,26,0,0,0,0
,Liver MELD / PELD 20-24,,19,0,19,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0
,Heart Status 7 (Inactive),,7,0,0,0,0,7,0
,Adult Status 2,,4,0,0,0,0,4,0
,Adult Status 3,,11,0,0,0,0,11,0
,Adult Status 4,,42,0,0,0,0,42,0
,
,Adult Status 6,,2,0,0,0,0,2,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1
,Lung/Heart-Lung: Inactive,,2,0,0,0,0,0,2
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,824","1,824",0,1,7,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,200,198,0,1,3,0,0
"GAMC-TX1 AU Medical Center, Inc.",All Types,,668,662,0,1,10,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,373,368,0,1,6,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,295,294,0,0,4,0,0
GAPH-TX1 Piedmont Hospital,All Types,,"1,490","1,302",178,2,15,19,0
,Liver Status 7 (Inactive),,44,0,44,0,0,0,0
,Liver MELD / PELD <15,,75,0,75,0,0,0,0
,Liver MELD / PELD 15-19,,34,0,34,0,0,0,0
,Liver MELD / PELD 20-24,,23,0,23,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0
,Heart Status 7 (Inactive),,1,0,0,0,0,1,0
,Adult Status 2,,2,0,0,0,0,2,0
,Adult Status 4,,15,0,0,0,0,15,0
,Adult Status 6,,1,0,0,0,0,1,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,766,766,0,0,7,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,539,536,0,2,8,0,0
