,,,All Organs,Kidney,Liver
All Centers,All Types,,348,326,22
,Liver Status 7 (Inactive),,6,0,6
,Liver MELD / PELD <15,,13,0,13
,Liver MELD / PELD 15-19,,2,0,2
,Liver MELD / PELD 25-29,,1,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,159,159,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,167,167,0
HIQM-TX1 The Queen's Medical Center,All Types,,348,326,22
,Liver Status 7 (Inactive),,6,0,6
,Liver MELD / PELD <15,,13,0,13
,Liver MELD / PELD 15-19,,2,0,2
,Liver MELD / PELD 25-29,,1,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,159,159,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,167,167,0
