,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung
All Centers,All Types,,946,731,150,2,24,42,23,3
,Liver Status 7 (Inactive),,22,0,22,0,0,0,0,0
,Liver MELD / PELD <15,,59,0,59,0,0,0,0,0
,Liver MELD / PELD 15-19,,38,0,38,0,0,0,0,0
,Liver MELD / PELD 20-24,,28,0,28,0,0,0,0,0
,Liver MELD / PELD 25-29,,3,0,3,0,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0
,Heart Status 1B,,2,0,0,0,0,2,0,0
,Heart Status 7 (Inactive),,8,0,0,0,0,8,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0
,Adult Status 3,,4,0,0,0,0,4,0,0
,Adult Status 4,,20,0,0,0,0,20,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0
,Adult Status 6,,5,0,0,0,0,5,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,10,0,0,0,0,0,10,1
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,5,0,0,0,0,0,5,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,1
,Lung/Heart-Lung: Inactive,,4,0,0,0,0,0,4,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,387,376,0,1,10,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,369,355,0,1,14,0,0,0
KYJH-TX1 Jewish Hospital,All Types,,330,250,39,2,16,18,10,2
,Liver Status 7 (Inactive),,3,0,3,0,0,0,0,0
,Liver MELD / PELD <15,,15,0,15,0,0,0,0,0
,Liver MELD / PELD 15-19,,10,0,10,0,0,0,0,0
,Liver MELD / PELD 20-24,,10,0,10,0,0,0,0,0
,Liver MELD / PELD 25-29,,1,0,1,0,0,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0
,Adult Status 4,,8,0,0,0,0,8,0,0
,Adult Status 6,,5,0,0,0,0,5,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,1,0,0,0,0,0,1,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,6,0,0,0,0,0,6,1
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,2,0,0,0,0,0,2,0
,Lung/Heart-Lung: Inactive,,1,0,0,0,0,0,1,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,163,155,0,1,7,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,105,95,0,1,9,0,0,0
KYKC-TX1 Norton Children's Hospital,All Types,,11,5,0,0,0,6,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0
,Heart Status 1B,,2,0,0,0,0,2,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,4,4,0,0,0,0,0,0
,
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,1,1,0,0,0,0,0,0
KYUK-TX1 University of Kentucky Medical Center,All Types,,605,476,111,0,8,18,13,1
,Liver Status 7 (Inactive),,19,0,19,0,0,0,0,0
,Liver MELD / PELD <15,,44,0,44,0,0,0,0,0
,Liver MELD / PELD 15-19,,28,0,28,0,0,0,0,0
,Liver MELD / PELD 20-24,,18,0,18,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0
,Adult Status 3,,2,0,0,0,0,2,0,0
,Adult Status 4,,12,0,0,0,0,12,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,2,0,0,0,0,0,2,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,4,0,0,0,0,0,4,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,3,0,0,0,0,0,3,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,1
,Lung/Heart-Lung: Inactive,,3,0,0,0,0,0,3,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,220,217,0,0,3,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,263,259,0,0,5,0,0,0
