,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Head & Neck: Craniofacial,Upper Limb: Bilateral,Upper Limb: Unilateral
All Centers,All Types,,"2,820","2,080",655,25,25,84,16,1,1,1
,Liver Status 1A,,1,0,1,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,165,0,165,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,389,0,389,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,61,0,61,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,26,0,26,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,11,0,11,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0,0
,Heart Status 7 (Inactive),,23,0,0,0,0,23,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0
,Adult Status 3,,4,0,0,0,0,4,0,0,0,0
,Adult Status 4,,28,0,0,0,0,28,0,0,0,0
,Adult Status 5,,5,0,0,0,0,5,0,0,0,0
,Adult Status 6,,20,0,0,0,0,20,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,6,0,0,0,0,0,6,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,2,0,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Inactive,,6,0,0,0,0,0,6,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,339","1,334",0,13,15,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,769,756,0,12,10,0,0,0,0,0
,VCA: Active,,3,0,0,0,0,0,0,1,1,1
MDJH-TX1 Johns Hopkins Hospital,All Types,,"1,737","1,345",359,16,14,38,3,1,1,1
,Liver Status 1A,,1,0,1,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,103,0,103,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,200,0,200,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,28,0,28,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,18,0,18,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,8,0,8,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0,0
,Heart Status 7 (Inactive),,17,0,0,0,0,17,0,0,0,0
,Adult Status 3,,3,0,0,0,0,3,0,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0,0
,Adult Status 6,,9,0,0,0,0,9,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,2,0,0,0,0,0,2,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1,0,0,0
,
,Kidney/Pancreas/Kidney-Pancreas: Active,,802,801,0,9,10,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,553,544,0,7,4,0,0,0,0,0
,VCA: Active,,3,0,0,0,0,0,0,1,1,1
MDUM-TX1 University of Maryland Medical System,All Types,,"1,118",769,297,9,13,46,13,0,0,0
,Liver Status 7 (Inactive),,62,0,62,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,189,0,189,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,33,0,33,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,8,0,8,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,3,0,3,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,6,0,0,0,0,6,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0
,Adult Status 3,,1,0,0,0,0,1,0,0,0,0
,Adult Status 4,,23,0,0,0,0,23,0,0,0,0
,Adult Status 5,,4,0,0,0,0,4,0,0,0,0
,Adult Status 6,,11,0,0,0,0,11,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,4,0,0,0,0,0,4,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Inactive,,6,0,0,0,0,0,6,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,557,553,0,4,7,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,220,216,0,5,6,0,0,0,0,0
