,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,"Face, Scalp"
All Centers,All Types,,"4,494","3,314",959,42,66,184,58,1,3,1
,Liver Status 1B,,1,0,1,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,178,0,178,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,505,0,505,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,119,0,119,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,74,0,74,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,78,0,78,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,3,0,3,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0
,Heart Status 1A,,5,0,0,0,0,5,0,0,0,0
,Heart Status 1B,,7,0,0,0,0,7,0,0,0,0
,Heart Status 2,,4,0,0,0,0,4,0,0,0,0
,Heart Status 7 (Inactive),,49,0,0,0,0,49,0,0,0,0
,Adult Status 2,,4,0,0,0,0,4,0,0,0,0
,Adult Status 3,,13,0,0,0,0,13,0,0,0,0
,Adult Status 4,,53,0,0,0,0,53,0,0,0,0
,Adult Status 5,,2,0,0,0,0,2,0,0,0,0
,Adult Status 6,,47,0,0,0,0,47,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,26,0,0,0,0,0,26,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,7,0,0,0,0,0,7,1,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,8,0,0,0,0,0,8,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,4,0,0,0,0,0,4,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Inactive,,12,0,0,0,0,0,12,0,0,0
,Intestine Non-urgent,,1,0,0,0,0,0,0,0,1,0
,Intestine Temporarily inactive,,2,0,0,0,0,0,0,0,2,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,545","1,538",0,3,22,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"1,831","1,792",0,39,44,0,0,0,0,0
,VCA: Active,,1,0,0,0,0,0,0,0,0,1
MABI-TX1 Beth Israel Deaconess Medical Center,All Types,,522,400,122,9,35,0,0,0,0,0
,Liver Status 7 (Inactive),,14,0,14,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,37,0,37,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,25,0,25,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,20,0,20,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,25,0,25,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,139,138,0,0,12,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,272,262,0,9,23,0,0,0,0,0
MABS-TX1 Baystate Medical Center,All Types,,173,173,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,82,82,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,91,91,0,0,0,0,0,0,0,0
MABU-TX1 Boston Medical Center,All Types,,294,294,0,0,0,0,0,0,0,0
,
,Kidney/Pancreas/Kidney-Pancreas: Active,,119,119,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,175,175,0,0,0,0,0,0,0,0
MACH-TX1 Boston Children's Hospital,All Types,,65,23,12,1,0,26,3,0,3,0
,Liver Status 1B,,1,0,1,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,6,0,6,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,2,0,2,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,2,0,2,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0
,Heart Status 1A,,5,0,0,0,0,5,0,0,0,0
,Heart Status 1B,,7,0,0,0,0,7,0,0,0,0
,Heart Status 2,,4,0,0,0,0,4,0,0,0,0
,Heart Status 7 (Inactive),,10,0,0,0,0,10,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,1,0,0,0,0,0,1,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,1,0,0,0,0,0,1,0,0,0
,Lung/Heart-Lung: Inactive,,1,0,0,0,0,0,1,0,0,0
,Intestine Non-urgent,,1,0,0,0,0,0,0,0,1,0
,Intestine Temporarily inactive,,2,0,0,0,0,0,0,0,2,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,4,4,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,20,19,0,1,0,0,0,0,0,0
MALC-TX1 Lahey Clinic Medical Center,All Types,,286,207,87,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,37,0,37,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,25,0,25,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,4,0,4,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,9,0,9,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,12,0,12,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,108,108,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,99,99,0,0,0,0,0,0,0,0
MAMG-TX1 Massachusetts General Hospital,All Types,,"1,569","1,184",371,14,10,22,10,0,0,1
