,,,All Organs,Kidney,Liver,Kidney / Pancreas,Heart
All Centers,All Types,,945,899,32,6,19
,Liver Status 7 (Inactive),,7,0,7,0,0
,Liver MELD / PELD <15,,12,0,12,0,0
,Liver MELD / PELD 15-19,,9,0,9,0,0
,Liver MELD / PELD 20-24,,4,0,4,0,0
,Heart Status 2,,1,0,0,0,1
,Heart Status 7 (Inactive),,3,0,0,0,3
,Adult Status 4,,10,0,0,0,10
,Adult Status 5,,1,0,0,0,1
,Adult Status 6,,4,0,0,0,4
,Kidney/Pancreas/Kidney-Pancreas: Active,,463,461,0,5,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,438,438,0,1,0
MSUM-TX1 University of Mississippi Medical Center,All Types,,945,899,32,6,19
,Liver Status 7 (Inactive),,7,0,7,0,0
,Liver MELD / PELD <15,,12,0,12,0,0
,Liver MELD / PELD 15-19,,9,0,9,0,0
,Liver MELD / PELD 20-24,,4,0,4,0,0
,Heart Status 2,,1,0,0,0,1
,Heart Status 7 (Inactive),,3,0,0,0,3
,Adult Status 4,,10,0,0,0,10
,Adult Status 5,,1,0,0,0,1
,Adult Status 6,,4,0,0,0,4
,Kidney/Pancreas/Kidney-Pancreas: Active,,463,461,0,5,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,438,438,0,1,0
