,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung
All Centers,All Types,,"2,594","2,328",174,13,38,38,11
,Liver Status 7 (Inactive),,15,0,15,0,0,0,0
,Liver MELD / PELD <15,,84,0,84,0,0,0,0
,Liver MELD / PELD 15-19,,37,0,37,0,0,0,0
,Liver MELD / PELD 20-24,,17,0,17,0,0,0,0
,Liver MELD / PELD 25-29,,17,0,17,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0
,Heart Status 7 (Inactive),,6,0,0,0,0,6,0
,Adult Status 2,,1,0,0,0,0,1,0
,Adult Status 3,,2,0,0,0,0,2,0
,Adult Status 4,,16,0,0,0,0,16,0
,Adult Status 6,,13,0,0,0,0,13,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,4,0,0,0,0,0,4
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Lung Allocation Score >=50,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Inactive,,3,0,0,0,0,0,3
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,581","1,558",0,2,21,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,797,771,0,11,17,0,0
NJBI-TX1 Newark Beth Israel Medical Center,All Types,,37,0,0,0,0,26,11
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0
,Adult Status 2,,1,0,0,0,0,1,0
,Adult Status 4,,11,0,0,0,0,11,0
,Adult Status 6,,11,0,0,0,0,11,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,4,0,0,0,0,0,4
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Lung Allocation Score >=50,,2,0,0,0,0,0,2
,Lung/Heart-Lung: Inactive,,3,0,0,0,0,0,3
NJHK-TX1 Hackensack University Medical Center,All Types,,227,219,0,5,5,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,135,133,0,0,2,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,92,86,0,5,3,0,0
NJLL-TX1 Virtua Our Lady of Lourdes Hospital,All Types,,384,307,70,2,11,0,0
,Liver Status 7 (Inactive),,12,0,12,0,0,0,0
,Liver MELD / PELD <15,,35,0,35,0,0,0,0
,Liver MELD / PELD 15-19,,12,0,12,0,0,0,0
,Liver MELD / PELD 20-24,,6,0,6,0,0,0,0
,Liver MELD / PELD 25-29,,4,0,4,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,132,129,0,0,3,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,188,178,0,2,8,0,0
NJRW-TX1 Robert Wood Johnson University Hospital,All Types,,289,270,0,1,6,12,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0
,
,Adult Status 3,,2,0,0,0,0,2,0
,Adult Status 4,,5,0,0,0,0,5,0
,Adult Status 6,,2,0,0,0,0,2,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,145,142,0,0,3,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,132,128,0,1,3,0,0
NJSB-TX1 Saint Barnabas Medical Center,All Types,,"1,559","1,538",0,5,16,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"1,174","1,159",0,2,13,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,385,379,0,3,3,0,0
NJUH-TX1 University Hospital,All Types,,104,0,104,0,0,0,0
,Liver Status 7 (Inactive),,3,0,3,0,0,0,0
,Liver MELD / PELD <15,,49,0,49,0,0,0,0
,Liver MELD / PELD 15-19,,25,0,25,0,0,0,0
,Liver MELD / PELD 20-24,,11,0,11,0,0,0,0
,Liver MELD / PELD 25-29,,13,0,13,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0
,Liver MELD / PELD 35+,,2,0,2,0,0,0,0
