,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine
All Centers,All Types,,"8,869","7,555",823,168,145,331,109,3,7
,Liver Status 1A,,1,0,1,0,0,0,0,0,0
,Liver Status 7 (Inactive),,197,0,197,0,0,0,0,0,0
,Liver MELD / PELD <15,,330,0,330,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,148,0,148,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,66,0,66,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,74,0,74,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,4,0,4,0,0,0,0,0,0
,Liver MELD / PELD 35+,,4,0,4,0,0,0,0,0,0
,Heart Status 1A,,8,0,0,0,0,8,0,0,0
,Heart Status 1B,,1,0,0,0,0,1,0,0,0
,Heart Status 7 (Inactive),,69,0,0,0,0,69,0,0,0
,Adult Status 1,,1,0,0,0,0,1,0,0,0
,Adult Status 2,,11,0,0,0,0,11,0,0,0
,Adult Status 3,,14,0,0,0,0,14,0,0,0
,Adult Status 4,,144,0,0,0,0,144,0,0,0
,Adult Status 5,,14,0,0,0,0,14,0,0,0
,Adult Status 6,,69,0,0,0,0,69,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 20 to < 30,,2,0,0,0,0,0,2,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,11,0,0,0,0,0,11,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,24,0,0,0,0,0,24,2,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,33,0,0,0,0,0,33,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,15,0,0,0,0,0,15,1,0
,Lung/Heart-Lung: Inactive,,24,0,0,0,0,0,24,0,0
,Intestine Status 1,,5,0,0,0,0,0,0,0,5
,Intestine Temporarily inactive,,2,0,0,0,0,0,0,0,2
,Kidney/Pancreas/Kidney-Pancreas: Active,,"4,459","4,427",0,20,53,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"3,293","3,154",0,148,92,0,0,0,0
NYAM-TX1 Albany Medical Center Hospital,All Types,,176,172,0,4,4,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,45,45,0,0,1,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,131,127,0,4,3,0,0,0,0
NYCC-TX1 Long Island Jewish Medical Center-Cohen Children's Medical Center,All Types,,20,20,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,20,20,0,0,0,0,0,0,0
NYCP-TX1 NY Presbyterian Hospital/Columbia Univ. Medical Center,All Types,,957,606,145,37,13,120,70,1,2
,Liver Status 7 (Inactive),,36,0,36,0,0,0,0,0,0
,Liver MELD / PELD <15,,90,0,90,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,9,0,9,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,7,0,7,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,3,0,3,0,0,0,0,0,0
,Heart Status 1A,,8,0,0,0,0,8,0,0,0
,Heart Status 1B,,1,0,0,0,0,1,0,0,0
,
,Heart Status 7 (Inactive),,23,0,0,0,0,23,0,0,0
,Adult Status 2,,3,0,0,0,0,3,0,0,0
,Adult Status 3,,6,0,0,0,0,6,0,0,0
,Adult Status 4,,48,0,0,0,0,48,0,0,0
,Adult Status 5,,5,0,0,0,0,5,0,0,0
,Adult Status 6,,26,0,0,0,0,26,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,5,0,0,0,0,0,5,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,17,0,0,0,0,0,17,1,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,30,0,0,0,0,0,30,0,0
