,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,GU: Uterus,Upper Limb: Bilateral
All Centers,All Types,,"6,776","5,891",550,55,126,144,115,4,53,1,1
,Liver Status 1B,,4,0,4,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,121,0,121,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,206,0,206,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,90,0,90,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,44,0,44,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,73,0,73,0,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,6,0,6,0,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,7,0,7,0,0,0,0,0,0,0,0
,Heart Status 1A,,3,0,0,0,0,3,0,0,0,0,0
,Heart Status 1B,,6,0,0,0,0,6,0,0,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0,0,0
,Heart Status 7 (Inactive),,33,0,0,0,0,33,0,0,0,0,0
,Adult Status 2,,5,0,0,0,0,5,0,0,0,0,0
,Adult Status 3,,4,0,0,0,0,4,0,0,0,0,0
,Adult Status 4,,57,0,0,0,0,57,0,0,0,0,0
,Adult Status 5,,5,0,0,0,0,5,0,0,0,0,0
,Adult Status 6,,29,0,0,0,0,29,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,34,0,0,0,0,0,34,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,23,0,0,0,0,0,23,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,21,0,0,0,0,0,21,1,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,7,0,0,0,0,0,7,0,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,4,0,0,0,0,0,4,1,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 2",,1,0,0,0,0,0,1,1,0,0,0
,Lung/Heart-Lung: Inactive,,25,0,0,0,0,0,25,0,0,0,0
,Intestine Status 1,,25,0,0,0,0,0,0,0,25,0,0
,Intestine Non-urgent,,19,0,0,0,0,0,0,0,19,0,0
,Intestine Temporarily inactive,,9,0,0,0,0,0,0,0,9,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"3,163","3,115",0,21,55,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,1,1,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"2,879","2,814",0,34,71,0,0,0,0,0,0
,VCA: Active,,2,0,0,0,0,0,0,0,0,1,1
PAAE-TX1 Albert Einstein Medical Center,All Types,,635,587,37,2,15,0,0,0,0,0,0
,Liver Status 7 (Inactive),,7,0,7,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,8,0,8,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,7,0,7,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,6,0,6,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,7,0,7,0,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,286,277,0,1,9,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,316,310,0,1,6,0,0,0,0,0,0
PAAG-TX1 Allegheny General Hospital,All Types,,276,238,16,5,0,20,0,0,0,0,0
,
,Liver Status 7 (Inactive),,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,5,0,5,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,4,0,4,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,4,0,4,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,2,0,2,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0,0,0
,Adult Status 2,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 4,,8,0,0,0,0,8,0,0,0,0,0
,Adult Status 6,,9,0,0,0,0,9,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,134,133,0,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,109,105,0,4,0,0,0,0,0,0,0
PACC-TX1 Crozer-Chester Medical Center,All Types,,226,226,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,121,121,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,105,105,0,0,0,0,0,0,0,0,0
PACH-TX1 UPMC Children's Hospital of Pittsburgh,All Types,,88,20,21,12,0,7,2,0,49,0,0
,Liver Status 1B,,2,0,2,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,3,0,3,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,3,0,3,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,3,0,3,0,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,2,0,2,0,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,6,0,6,0,0,0,0,0,0,0,0
,Heart Status 1A,,1,0,0,0,0,1,0,0,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0,0,0
,Heart Status 7 (Inactive),,3,0,0,0,0,3,0,0,0,0,0
,Adult Status 4,,1,0,0,0,0,1,0,0,0,0,0
,Lung/Heart-Lung: Inactive,,2,0,0,0,0,0,2,0,0,0,0
,Intestine Status 1,,23,0,0,0,0,0,0,0,23,0,0
,Intestine Non-urgent,,19,0,0,0,0,0,0,0,19,0,0
,Intestine Temporarily inactive,,7,0,0,0,0,0,0,0,7,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,16,5,0,11,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,16,15,0,1,0,0,0,0,0,0,0
PACP-TX1 Children's Hospital of Philadelphia,All Types,,79,58,7,0,0,10,6,2,0,0,0
,Liver Status 1B,,2,0,2,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,2,0,2,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,1,0,1,0,0,0,0,0,0,0,0
,Heart Status 1A,,2,0,0,0,0,2,0,0,0,0,0
,Heart Status 1B,,6,0,0,0,0,6,0,0,0,0,0
,
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,4,0,0,0,0,0,4,1,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 2",,1,0,0,0,0,0,1,1,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,8,8,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,50,50,0,0,0,0,0,0,0,0,0
PAGM-TX1 Geisinger Medical Center,All Types,,276,266,10,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,2,0,2,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,4,0,4,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,4,0,4,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,207,207,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,59,59,0,0,0,0,0,0,0,0,0
PAHE-TX1 Penn State Milton S Hershey Medical Center,All Types,,236,159,77,0,0,9,0,0,0,0,0
,Liver Status 7 (Inactive),,16,0,16,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,19,0,19,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,10,0,10,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,10,0,10,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,21,0,21,0,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,1,0,1,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,2,0,0,0,0,2,0,0,0,0,0
,Adult Status 4,,5,0,0,0,0,5,0,0,0,0,0
,Adult Status 5,,1,0,0,0,0,1,0,0,0,0,0
,Adult Status 6,,1,0,0,0,0,1,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,94,94,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,65,65,0,0,0,0,0,0,0,0,0
PAHH-TX1 Pinnacle Health System at Harrisburg Hospital,All Types,,220,220,0,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,120,120,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,100,100,0,0,0,0,0,0,0,0,0
PAHM-TX1 Hahnemann University Hospital,All Types,,105,99,6,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,6,0,6,0,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,40,40,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,59,59,0,0,0,0,0,0,0,0,0
PALH-TX1 The Lankenau Hospital,All Types,,197,197,0,0,0,0,0,0,0,0,0
