,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Head & Neck: Craniofacial
All Centers,All Types,,"10,065","8,456","1,305",30,81,340,80,8,1
,Liver Status 1A,,1,0,1,0,0,0,0,0,0
,Liver Status 1B,,2,0,2,0,0,0,0,0,0
,Liver Status 7 (Inactive),,242,0,242,0,0,0,0,0,0
,Liver MELD / PELD <15,,617,0,617,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,187,0,187,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,124,0,124,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,104,0,104,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,17,0,17,0,0,0,0,0,0
,Liver MELD / PELD 35+,,14,0,14,0,0,0,0,0,0
,Heart Status 1A,,12,0,0,0,0,12,0,0,0
,Heart Status 1B,,11,0,0,0,0,11,0,0,0
,Heart Status 2,,23,0,0,0,0,23,0,0,0
,Heart Status 7 (Inactive),,87,0,0,0,0,87,0,0,0
,Adult Status 1,,3,0,0,0,0,3,0,0,0
,Adult Status 2,,8,0,0,0,0,8,0,0,0
,Adult Status 3,,15,0,0,0,0,15,0,0,0
,Adult Status 4,,114,0,0,0,0,114,0,0,0
,Adult Status 5,,15,0,0,0,0,15,0,0,0
,Adult Status 6,,53,0,0,0,0,53,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 1 to < 20,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,22,0,0,0,0,0,22,2,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,11,0,0,0,0,0,11,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,13,0,0,0,0,0,13,3,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,9,0,0,0,0,0,9,2,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,1,0,0,0,0,0,1,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 2",,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Inactive,,20,0,0,0,0,0,20,1,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"6,080","6,056",0,6,47,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,,1,1,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"2,583","2,543",0,24,36,0,0,0,0
,VCA: Active,,1,0,0,0,0,0,0,0,1
TXAS-TX1 Baylor  Scott and White All Saints Medical Center-Fort Worth,All Types,,955,902,42,1,14,0,0,0,0
,Liver Status 7 (Inactive),,17,0,17,0,0,0,0,0,0
,Liver MELD / PELD <15,,17,0,17,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,3,0,3,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,2,0,2,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,3,0,3,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,569,564,0,0,6,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,345,338,0,1,8,0,0,0,0
"TXBC-TX1 University Hospital, University of Texas Health Science Center",All Types,,603,490,118,0,0,0,8,0,0
,Liver Status 7 (Inactive),,28,0,28,0,0,0,0,0,0
,
,Liver MELD / PELD <15,,49,0,49,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,19,0,19,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,11,0,11,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,11,0,11,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,3,0,0,0,0,0,3,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,1,0,0,0,0,0,1,0,0
,Lung/Heart-Lung: Inactive,,3,0,0,0,0,0,3,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,320,320,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,170,170,0,0,0,0,0,0,0
TXCF-TX1 Cook Children's Medical Center,All Types,,14,14,0,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,9,9,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,5,5,0,0,0,0,0,0,0
TXCM-TX1 Children's Medical Center of Dallas,All Types,,71,31,28,0,0,14,0,0,0
,Liver Status 1B,,2,0,2,0,0,0,0,0,0
,Liver Status 7 (Inactive),,9,0,9,0,0,0,0,0,0
