,,,All Organs,Kidney,Heart
All Centers,All Types,,113,112,1
,Heart Status 7 (Inactive),,1,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,54,54,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,58,58,0
WVCA-TX1 Charleston Area Medical Center,All Types,,73,73,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,32,32,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,41,41,0
WVWU-TX1 West Virginia University Hospitals Inc.,All Types,,42,41,1
,Heart Status 7 (Inactive),,1,0,1
,Kidney/Pancreas/Kidney-Pancreas: Active,,24,24,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,17,17,0
