,,To Date,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
All Organs,,"172,277",433,"5,726","7,397","6,849","6,182","5,980","5,989","5,819","5,988","5,866","6,022","6,561","6,609","6,218","6,313","6,733","6,905","6,992","6,814","6,619","6,598","5,939","5,019","4,545","4,050","3,782","3,475","3,088","2,898","2,571","2,427","2,123","1,918","1,829"
Kidney,,"164,004",392,"5,234","6,867","6,442","5,811","5,629","5,628","5,538","5,733","5,619","5,773","6,278","6,387","5,968","6,043","6,435","6,572","6,648","6,470","6,241","6,045","5,505","4,723","4,420","3,933","3,679","3,389","3,007","2,851","2,534","2,396","2,094","1,903","1,817"
Liver,,"7,842",41,491,524,401,367,345,359,280,252,246,247,282,219,249,266,288,323,323,322,363,524,406,258,92,88,65,54,60,36,33,22,14,2,0
Pancreas,,24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,2,3,1,2,4,5
Kidney / Pancreas,,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3,0,3,6,7,2,6,10,6,2,0,0,0,0,0,0
Heart,,43,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,3,2,1,4,12,9,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lung,,253,0,0,0,0,0,0,0,0,1,1,1,0,1,0,3,4,1,15,15,13,25,18,29,29,21,24,24,16,7,0,4,1,0,0
Intestine,,44,0,0,0,0,1,0,2,1,1,0,1,1,2,0,1,4,7,6,4,1,0,3,2,2,2,2,1,0,0,0,0,0,0,0
GU: Uterus,,19,0,1,6,6,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
