,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,All Patient States,,"107,888","91,242","11,896",897,"1,702","3,515",983,48,212,3,2,6,3,3,1
,Alabama,,"1,395","1,268",99,6,9,21,6,0,1,0,0,0,0,0,0
,Alaska,,159,131,18,1,4,1,5,0,0,0,0,0,0,0,0
,Arizona,,"1,297","1,126",127,7,17,27,11,1,6,0,0,0,0,0,0
,Arkansas,,520,416,59,5,7,39,3,0,2,0,0,0,0,0,0
,California,,"20,780","18,269","2,187",58,221,250,131,5,27,0,0,0,0,0,0
,Colorado,,"1,438","1,207",172,15,21,48,10,0,3,0,0,0,0,0,0
,Connecticut,,"1,231",965,198,9,4,66,10,0,1,0,0,0,0,0,0
,Delaware,,439,371,49,1,4,15,6,0,0,0,0,0,0,0,0
,District of Columbia,,269,221,39,4,5,5,0,0,1,0,0,0,0,0,0
,Florida,,"4,659","3,943",475,22,65,193,49,1,19,2,0,0,0,0,0
,Georgia,,"4,085","3,644",324,12,43,105,9,1,10,0,0,0,0,0,0
,Hawaii,,626,589,32,3,2,1,0,0,1,0,0,0,0,0,0
,Idaho,,303,216,71,1,1,16,2,0,0,0,0,0,0,0,0
,Illinois,,"4,246","3,651",287,60,103,196,46,3,11,0,0,0,0,0,0
,Indiana,,"1,272","1,065",112,12,21,97,10,1,7,0,0,0,0,0,0
,Iowa,,554,432,60,8,12,39,11,0,0,0,0,0,0,0,0
,Kansas,,472,364,77,1,5,22,8,0,1,0,0,0,0,0,0
,Kentucky,,996,765,147,6,27,45,25,3,5,0,0,0,0,0,0
,Louisiana,,"1,678","1,475",116,4,26,66,9,1,1,0,0,0,0,0,0
,Maine,,335,231,78,3,2,22,8,0,0,0,0,0,0,0,0
,Maryland,,"3,047","2,265",646,27,43,121,19,2,1,0,1,0,1,1,0
