,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,All Patient States,,"107,888","91,242","11,896",897,"1,702","3,515",983,48,212,3,2,6,3,3,1
All Centers,Alabama,,"1,395","1,268",99,6,9,21,6,0,1,0,0,0,0,0,0
All Centers,Alaska,,159,131,18,1,4,1,5,0,0,0,0,0,0,0,0
All Centers,Arizona,,"1,297","1,126",127,7,17,27,11,1,6,0,0,0,0,0,0
All Centers,Arkansas,,520,416,59,5,7,39,3,0,2,0,0,0,0,0,0
All Centers,California,,"20,780","18,269","2,187",58,221,250,131,5,27,0,0,0,0,0,0
All Centers,Colorado,,"1,438","1,207",172,15,21,48,10,0,3,0,0,0,0,0,0
All Centers,Connecticut,,"1,231",965,198,9,4,66,10,0,1,0,0,0,0,0,0
All Centers,Delaware,,439,371,49,1,4,15,6,0,0,0,0,0,0,0,0
All Centers,District of Columbia,,269,221,39,4,5,5,0,0,1,0,0,0,0,0,0
All Centers,Florida,,"4,659","3,943",475,22,65,193,49,1,19,2,0,0,0,0,0
All Centers,Georgia,,"4,085","3,644",324,12,43,105,9,1,10,0,0,0,0,0,0
All Centers,Hawaii,,626,589,32,3,2,1,0,0,1,0,0,0,0,0,0
All Centers,Idaho,,303,216,71,1,1,16,2,0,0,0,0,0,0,0,0
All Centers,Illinois,,"4,246","3,651",287,60,103,196,46,3,11,0,0,0,0,0,0
All Centers,Indiana,,"1,272","1,065",112,12,21,97,10,1,7,0,0,0,0,0,0
All Centers,Iowa,,554,432,60,8,12,39,11,0,0,0,0,0,0,0,0
All Centers,Kansas,,472,364,77,1,5,22,8,0,1,0,0,0,0,0,0
All Centers,Kentucky,,996,765,147,6,27,45,25,3,5,0,0,0,0,0,0
All Centers,Louisiana,,"1,678","1,475",116,4,26,66,9,1,1,0,0,0,0,0,0
All Centers,Maine,,335,231,78,3,2,22,8,0,0,0,0,0,0,0,0
All Centers,Maryland,,"3,047","2,265",646,27,43,121,19,2,1,0,1,0,1,1,0
All Centers,Massachusetts,,"3,659","2,844",688,30,53,104,38,1,3,0,0,0,0,0,1
All Centers,Michigan,,"2,620","2,185",256,38,37,143,39,0,7,0,0,0,0,0,0
All Centers,Minnesota,,"1,863","1,561",133,85,126,65,31,1,0,0,0,0,1,0,0
All Centers,Mississippi,,"1,209","1,104",71,0,11,39,3,0,0,0,0,0,0,0,0
All Centers,Missouri,,"1,271","1,078",123,4,20,48,10,2,2,0,0,0,0,0,0
All Centers,Montana,,165,134,20,0,7,7,2,0,1,0,0,0,0,0,0
All Centers,Nebraska,,267,195,49,3,2,25,3,0,1,0,0,0,0,0,0
All Centers,Nevada,,569,471,89,2,4,12,0,0,2,0,0,0,0,0,0
All Centers,New Hampshire,,409,312,78,3,7,17,3,0,0,0,0,0,0,0,0
All Centers,New Jersey,,"3,379","2,858",337,29,48,103,49,0,3,0,0,0,0,0,0
All Centers,New Mexico,,700,618,66,5,3,13,2,0,1,0,0,0,0,0,0
All Centers,New York,,"8,507","7,316",739,153,143,297,108,2,8,0,0,0,0,0,0
All Centers,North Carolina,,"3,049","2,749",148,50,82,90,15,1,7,1,0,0,0,1,0
All Centers,North Dakota,,196,158,17,4,7,15,5,2,0,0,0,0,0,0,0
All Centers,Ohio,,"2,714","2,071",446,25,49,167,34,3,7,0,0,5,0,1,0
All Centers,Oklahoma,,638,471,118,2,16,29,10,1,2,0,0,0,0,0,0
All Centers,Oregon,,644,529,74,2,12,21,12,1,1,0,0,0,0,0,0
All Centers,Pennsylvania,,"4,920","4,279",422,48,101,106,61,1,24,0,0,1,1,0,0
