,,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,All Center States,All Time,,"107,888","91,242","11,896",897,"1,702","3,515",983,48,212,3,2,6,3,3,1
,,< 30 Days,,"4,668","3,281",878,50,127,329,192,8,10,0,0,0,0,0,0
,,30 to < 90 Days,,"6,538","4,979","1,032",58,149,365,148,6,18,0,0,0,0,0,0
,,90 Days to < 6 Months,,"10,360","8,158","1,563",90,236,445,153,6,19,0,0,0,0,0,0
,,6 Months to < 1 Year,,"14,171","11,530","1,976",110,302,482,117,7,31,1,0,0,2,0,0
,,1 Year to < 2 Years,,"25,931","22,361","2,500",194,446,746,202,10,30,1,1,2,0,0,0
,,2 Years to < 3 Years,,"17,467","15,490","1,295",122,197,520,98,2,18,1,1,4,1,1,0
,,3 Years to < 5 Years,,"18,501","16,635","1,304",129,154,418,53,2,33,0,0,0,0,2,1
,,5 or More Years,,"15,483","13,616","1,461",147,122,234,27,7,54,0,0,0,0,0,0
,Alabama,All Time,,"1,227","1,099",104,5,9,21,8,0,0,0,0,0,0,0,0
,,< 30 Days,,44,37,2,0,3,3,1,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,72,53,15,0,0,1,3,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,100,87,11,0,1,1,1,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,130,102,20,0,3,6,2,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,248,221,23,2,1,5,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,191,167,21,2,1,4,0,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,178,170,8,0,0,1,0,0,0,0,0,0,0,0,0
,,5 or More Years,,268,264,4,1,0,0,0,0,0,0,0,0,0,0,0
,Arizona,All Time,,"1,644","1,397",200,5,19,29,17,0,0,0,0,0,0,0,0
,,< 30 Days,,110,63,30,1,3,7,11,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,146,101,40,0,3,7,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,167,131,31,0,4,3,2,0,0,0,0,0,0,0,0
,,6 Months to < 1 Year,,247,208,30,0,5,6,1,0,0,0,0,0,0,0,0
,,1 Year to < 2 Years,,324,282,37,1,1,3,1,0,0,0,0,0,0,0,0
,,2 Years to < 3 Years,,242,227,12,1,1,1,1,0,0,0,0,0,0,0,0
,,3 Years to < 5 Years,,233,226,3,1,1,2,0,0,0,0,0,0,0,0,0
,,5 or More Years,,178,160,17,1,1,0,1,0,0,0,0,0,0,0,0
,Arkansas,All Time,,244,183,31,0,0,30,0,0,0,0,0,0,0,0,0
,,< 30 Days,,19,16,2,0,0,1,0,0,0,0,0,0,0,0,0
,,30 to < 90 Days,,18,13,3,0,0,2,0,0,0,0,0,0,0,0,0
,,90 Days to < 6 Months,,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0
