,,,All Organs,Kidney,Liver,Pancreas,Kidney / Pancreas,Heart,Lung,Heart / Lung,Intestine,Abdominal Wall,Head & Neck: Craniofacial,GU: Uterus,Upper Limb: Bilateral,Upper Limb: Unilateral,"Face, Scalp"
All Centers,All Types,,"107,888","91,242","11,896",897,"1,702","3,515",983,48,212,3,2,6,3,3,1
,Liver Status 1A,,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0
,Liver Status 1B,,13,0,13,0,0,0,0,0,0,0,0,0,0,0,0
,Liver Status 7 (Inactive),,"2,749",0,"2,749",0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,"5,060",0,"5,060",0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD 15-19,,"1,862",0,"1,862",0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,"1,205",0,"1,205",0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD 25-29,,870,0,870,0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD 30-34,,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD 35+,,93,0,93,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Status 1A,,110,0,0,0,0,110,0,0,0,0,0,0,0,0,0
,Heart Status 1B,,91,0,0,0,0,91,0,0,0,0,0,0,0,0,0
,Heart Status 2,,105,0,0,0,0,105,0,0,0,0,0,0,0,0,0
,Heart Status 7 (Inactive),,872,0,0,0,0,872,0,0,0,0,0,0,0,0,0
,Adult Status 1,,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0
,Adult Status 2,,97,0,0,0,0,97,0,0,0,0,0,0,0,0,0
,Adult Status 3,,182,0,0,0,0,182,0,0,0,0,0,0,0,0,0
,Adult Status 4,,"1,422",0,0,0,0,"1,422",0,0,0,0,0,0,0,0,0
,Adult Status 5,,102,0,0,0,0,102,0,0,0,0,0,0,0,0,0
,Adult Status 6,,529,0,0,0,0,529,0,0,0,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 1 to < 20,,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 20 to < 30,,4,0,0,0,0,0,4,1,0,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 30 to < 35,,258,0,0,0,0,0,258,7,0,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 35 to < 40,,212,0,0,0,0,0,212,8,0,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score 40 to 50,,172,0,0,0,0,0,172,12,0,0,0,0,0,0,0
,Lung/Heart-Lung: Lung Allocation Score >=50,,93,0,0,0,0,0,93,6,0,0,0,0,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 1",,9,0,0,0,0,0,8,2,0,0,0,0,0,0,0
,"Lung/Heart-Lung: Less Than 12 Years, Priority 2",,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0
,Lung/Heart-Lung: Inactive,,237,0,0,0,0,0,233,11,0,0,0,0,0,0,0
,Intestine Status 1,,99,0,0,0,0,0,0,0,99,0,0,0,0,0,0
,Intestine Non-urgent,,49,0,0,0,0,0,0,0,49,0,0,0,0,0,0
,Intestine Temporarily inactive,,64,0,0,0,0,0,0,0,64,0,0,0,0,0,0
,Kidney/Pancreas/Kidney-Pancreas: Active,,"53,955","53,359",0,195,785,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Medically urgent,,14,14,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Active-Critical status,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
,Kidney/Panc/Kidney-Panc: Temporarily inactive,,"40,842","39,816",0,703,930,0,0,0,0,0,0,0,0,0,0
,VCA: Active,,18,0,0,0,0,0,0,0,0,3,2,6,3,3,1
ALCH-TX1 Children's of Alabama,All Types,,22,15,2,0,0,6,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD <15,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Liver MELD / PELD 20-24,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Heart Status 1B,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,Heart Status 2,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0
,
