,Center Name,Center States,Wait Time,Kidney,Liver,Pancreas,Heart
459,ALCH-TX1 Children's of Alabama,Alabama,All Time,15,2,0.0,6
460,ALCH-TX1 Children's of Alabama,Alabama,< 30 Days,2,0,0.0,1
461,ALCH-TX1 Children's of Alabama,Alabama,30 to < 90 Days,0,1,0.0,0
463,ALCH-TX1 Children's of Alabama,Alabama,90 Days to < 6 Months,3,0,0.0,0
464,ALCH-TX1 Children's of Alabama,Alabama,6 Months to < 1 Year,3,0,0.0,2
465,ALCH-TX1 Children's of Alabama,Alabama,1 Year to < 2 Years,2,1,0.0,2
466,ALCH-TX1 Children's of Alabama,Alabama,2 Years to < 3 Years,0,0,0.0,1
467,ALCH-TX1 Children's of Alabama,Alabama,3 Years to < 5 Years,1,0,0.0,0
468,ALCH-TX1 Children's of Alabama,Alabama,5 or More Years,4,0,0.0,0
478,ALUA-TX1 University of Alabama Hospital,Alabama,All Time,1031,102,5.0,15
479,ALUA-TX1 University of Alabama Hospital,Alabama,< 30 Days,35,2,0.0,2
480,ALUA-TX1 University of Alabama Hospital,Alabama,30 to < 90 Days,53,14,0.0,1
481,ALUA-TX1 University of Alabama Hospital,Alabama,90 Days to < 6 Months,84,11,0.0,1
482,ALUA-TX1 University of Alabama Hospital,Alabama,6 Months to < 1 Year,92,20,0.0,4
483,ALUA-TX1 University of Alabama Hospital,Alabama,1 Year to < 2 Years,196,22,2.0,3
484,ALUA-TX1 University of Alabama Hospital,Alabama,2 Years to < 3 Years,153,21,2.0,3
485,ALUA-TX1 University of Alabama Hospital,Alabama,3 Years to < 5 Years,160,8,0.0,1
486,ALUA-TX1 University of Alabama Hospital,Alabama,5 or More Years,258,4,1.0,0
493,ALVA-TX1 Birmingham VA Medical Center,Alabama,All Time,55,0,0.0,0
494,ALVA-TX1 Birmingham VA Medical Center,Alabama,6 Months to < 1 Year,7,0,0.0,0
495,ALVA-TX1 Birmingham VA Medical Center,Alabama,1 Year to < 2 Years,23,0,0.0,0
496,ALVA-TX1 Birmingham VA Medical Center,Alabama,2 Years to < 3 Years,14,0,0.0,0
497,ALVA-TX1 Birmingham VA Medical Center,Alabama,3 Years to < 5 Years,9,0,0.0,0
498,ALVA-TX1 Birmingham VA Medical Center,Alabama,5 or More Years,2,0,0.0,0
507,ARBH-TX1 Baptist Medical Center,Arkansas,All Time,0,0,0.0,28
508,ARBH-TX1 Baptist Medical Center,Arkansas,< 30 Days,0,0,0.0,1
509,ARBH-TX1 Baptist Medical Center,Arkansas,6 Months to < 1 Year,0,0,0.0,2
510,ARBH-TX1 Baptist Medical Center,Arkansas,1 Year to < 2 Years,0,0,0.0,3
511,ARBH-TX1 Baptist Medical Center,Arkansas,2 Years to < 3 Years,0,0,0.0,8
512,ARBH-TX1 Baptist Medical Center,Arkansas,3 Years to < 5 Years,0,0,0.0,9
513,ARBH-TX1 Baptist Medical Center,Arkansas,5 or More Years,0,0,0.0,5
519,ARCH-TX1 Arkansas Children's Hospital,Arkansas,All Time,4,0,0.0,2
520,ARCH-TX1 Arkansas Children's Hospital,Arkansas,30 to < 90 Days,1,0,0.0,2
521,ARCH-TX1 Arkansas Children's Hospital,Arkansas,90 Days to < 6 Months,1,0,0.0,0
522,ARCH-TX1 Arkansas Children's Hospital,Arkansas,6 Months to < 1 Year,1,0,0.0,0
523,ARCH-TX1 Arkansas Children's Hospital,Arkansas,2 Years to < 3 Years,1,0,0.0,0
533,ARUA-TX1 UAMS Medical Center,Arkansas,All Time,179,31,0.0,0
534,ARUA-TX1 UAMS Medical Center,Arkansas,< 30 Days,16,2,0.0,0
535,ARUA-TX1 UAMS Medical Center,Arkansas,30 to < 90 Days,12,3,0.0,0
536,ARUA-TX1 UAMS Medical Center,Arkansas,90 Days to < 6 Months,21,4,0.0,0
537,ARUA-TX1 UAMS Medical Center,Arkansas,6 Months to < 1 Year,38,6,0.0,0
538,ARUA-TX1 UAMS Medical Center,Arkansas,1 Year to < 2 Years,41,9,0.0,0
539,ARUA-TX1 UAMS Medical Center,Arkansas,2 Years to < 3 Years,22,1,0.0,0
540,ARUA-TX1 UAMS Medical Center,Arkansas,3 Years to < 5 Years,17,4,0.0,0
541,ARUA-TX1 UAMS Medical Center,Arkansas,5 or More Years,12,2,0.0,0
551,AZCH-TX1 Phoenix Children's Hospital,Arizona,All Time,19,6,0.0,4
552,AZCH-TX1 Phoenix Children's Hospital,Arizona,< 30 Days,2,0,0.0,1
553,AZCH-TX1 Phoenix Children's Hospital,Arizona,30 to < 90 Days,0,1,0.0,0
554,AZCH-TX1 Phoenix Children's Hospital,Arizona,90 Days to < 6 Months,2,1,0.0,0
555,AZCH-TX1 Phoenix Children's Hospital,Arizona,6 Months to < 1 Year,5,0,0.0,1
556,AZCH-TX1 Phoenix Children's Hospital,Arizona,1 Year to < 2 Years,5,4,0.0,2
557,AZCH-TX1 Phoenix Children's Hospital,Arizona,2 Years to < 3 Years,3,0,0.0,0
558,AZCH-TX1 Phoenix Children's Hospital,Arizona,3 Years to < 5 Years,2,0,0.0,0
568,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,All Time,379,28,3.0,6
569,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,< 30 Days,12,8,0.0,1
570,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,30 to < 90 Days,13,2,0.0,2
571,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,90 Days to < 6 Months,15,6,0.0,0
572,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,6 Months to < 1 Year,43,5,0.0,3
573,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,1 Year to < 2 Years,60,3,0.0,0
574,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,2 Years to < 3 Years,71,2,1.0,0
575,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,3 Years to < 5 Years,88,0,1.0,0
576,AZGS-TX1 Banner-University Medical Center Phoenix,Arizona,5 or More Years,77,2,1.0,0
579,AZHH-TX1 Phoenix Regional Medical Center,Arizona,All Time,11,0,0.0,0
580,AZHH-TX1 Phoenix Regional Medical Center,Arizona,5 or More Years,11,0,0.0,0
591,AZMC-TX1 Mayo Clinic Hospital,Arizona,All Time,763,135,2.0,18
592,AZMC-TX1 Mayo Clinic Hospital,Arizona,< 30 Days,38,15,1.0,5
593,AZMC-TX1 Mayo Clinic Hospital,Arizona,30 to < 90 Days,74,27,0.0,5
594,AZMC-TX1 Mayo Clinic Hospital,Arizona,90 Days to < 6 Months,90,19,0.0,3
595,AZMC-TX1 Mayo Clinic Hospital,Arizona,6 Months to < 1 Year,126,23,0.0,2
596,AZMC-TX1 Mayo Clinic Hospital,Arizona,1 Year to < 2 Years,161,28,1.0,0
597,AZMC-TX1 Mayo Clinic Hospital,Arizona,2 Years to < 3 Years,111,6,0.0,1
598,AZMC-TX1 Mayo Clinic Hospital,Arizona,3 Years to < 5 Years,111,2,0.0,2
599,AZMC-TX1 Mayo Clinic Hospital,Arizona,5 or More Years,52,15,0.0,0
609,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,All Time,102,22,0.0,0
610,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,< 30 Days,2,1,0.0,0
611,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,30 to < 90 Days,5,9,0.0,0
612,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,90 Days to < 6 Months,15,4,0.0,0
613,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,6 Months to < 1 Year,12,2,0.0,0
614,AZSJ-TX1 St. Joseph's Hospital and Medical Center,Arizona,1 Year to < 2 Years,18,2,0.0,0
