State_Abv,State,All_Centers,Hospital_Name,All_Centers_Hospital_Name,Address,link,Latitude,Longitude
 AL,Alabama, ALAM-TX1,University of South Alabama Medical Center, ALAM-TX1 University of South Alabama Medical Center,"1261 Hillcrest Rd, Mobile, AL 36695",https://www.usahealthsystem.com/locations/university-hospital,30.66347127,-88.190445
 AL,Alabama, ALCH-TX1,Children's of Alabama, ALCH-TX1 Children's of Alabama,"1600 7th Avenue South Birmingham, AL 35233",https://www.childrensal.org/?utm_campaign=website-link&utm_medium=organic&utm_source=local-listing,33.50468945,-86.80563664
 AL,Alabama, ALUA-TX1,University of Alabama Hospital, ALUA-TX1 University of Alabama Hospital,"619 South 20th Street Birmingham, AL 35233",http://www.uabmedicine.org/locations/uab-hospital,33.51165166,-86.89626998
 AL,Alabama, ALVA-TX1,Birmingham VA Medical Center, ALVA-TX1 Birmingham VA Medical Center,"700 19th St S, Birmingham, AL 35233",http://www.birmingham.va.gov/,33.50505,-86.80129
 AR,Arkansas, ARBH-TX1,Baptist Medical Center, ARBH-TX1 Baptist Medical Center,"9601 Baptist Health Dr, Little Rock, AR 72205",https://www.baptist-health.com/location/baptist-health-little-rock-emergency-department/,34.743831,-92.38100359
 AR,Arkansas, ARCH-TX1,Arkansas Children's Hospital, ARCH-TX1 Arkansas Children's Hospital,"1 Children's Way, Little Rock, AR 72202",https://www.archildrens.org/,34.74084135,-92.29159233
 AR,Arkansas, ARUA-TX1,UAMS Medical Center, ARUA-TX1 UAMS Medical Center,"4301 W Markham Little Rock, AR 72205",https://uamshealth.com/location/uams-medical-center/?utm_source=google&utm_medium=gmb&utm_campaign=clinical&utm_term=location&utm_content=profile&utm_specs=uams-medical-center,34.74953576,-92.32053163
 AZ,Arizona, AZCH-TX1,Phoenix Children's Hospital, AZCH-TX1 Phoenix Children's Hospital,"1919 E Thomas Rd, Phoenix, AZ 85016",http://phoenixchildrens.org/?utm_source=chatmeter&utm_medium=local-listing,33.4788896,-112.0411281
 AZ,Arizona, AZGS-TX1,Banner-University Medical Center Phoenix, AZGS-TX1 Banner-University Medical Center Phoenix,"1111 E McDowell Rd, Phoenix, AZ 85006",https://www.bannerhealth.com/locations/phoenix/banner-university-medical-center-phoenix?y_source=1_MTE5MDczNTMtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,33.46470925,-112.05858
 AZ,Arizona, AZMC-TX1,Mayo Clinic Hospital, AZMC-TX1 Mayo Clinic Hospital,"5777 East Mayo Boulevard Phoenix, AZ 85054",http://www.mayoclinic.org/patient-visitor-guide/arizona/campus-buildings-maps/mayo-clinic-hospital?mc_id=us&utm_source=yext&utm_medium=l&utm_content=feature&utm_campaign=mayoclinic&geo=national&placementsite=enterprise&invsrc=other&cauid=102372,33.65725275,-111.9558917
 AZ,Arizona, AZSJ-TX1,St. Joseph's Hospital and Medical Center, AZSJ-TX1 St. Joseph's Hospital and Medical Center,"350 West Thomas Road Phoenix, AZ 85013",https://locations.dignityhealth.org/st-joseph's-hospital-and-medical-center?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=Arizona&utm_term=St.Joseph%27sHospitalandMedicalCenter&y_source=1_NjE3ODk3NS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,33.4822628,-112.0800515
 AZ,Arizona, AZSM-TX1,Scottsdale Healthcare Osborn, AZSM-TX1 Scottsdale Healthcare Osborn,"7400 E Osborn Rd, Scottsdale, AZ 85251",https://www.honorhealth.com/locations/hospitals/scottsdale-osborn-medical-center?utm_source=GMB&utm_medium=local&utm_campaign=Scottsdale_Osborn_Medical_Center,33.4885727,-111.9229832
 AZ,Arizona, AZTV-TX1,Veterans Administration Medical Center Tucson, AZTV-TX1 Veterans Administration Medical Center Tucson,"3601 S 6th Ave, Tucson, AZ 85723",http://www.va.gov/,32.18144915,-110.9647969
 AZ,Arizona, AZUA-TX1,Banner University Medical Center-Tucson, AZUA-TX1 Banner University Medical Center-Tucson,"1625 North Campbell Avenue Tucson, AZ 85719",https://www.bannerhealth.com/locations/tucson/banner-university-medical-center-tucson,32.24197631,-110.9440946
 CA,California, CABE-TX1,Saint Bernardine Medical Center, CABE-TX1 Saint Bernardine Medical Center,"2101 N Waterman Ave, San Bernardino, CA 92404",https://locations.dignityhealth.org/dignity-health-st-bernardine-medical-center?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=SouthernCalifornia&utm_term=DignityHealth-St.BernardineMedicalCenter&y_source=1_NjMzNjQ5Ny03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,34.134179,-117.278677
 CA,California, CABH-TX1,Alta Bates Medical Center, CABH-TX1 Alta Bates Medical Center,"3242 Telegraph Ave, Oakland, CA 94609",https://www.sutterhealth.org/find-location/facility/alta-bates-summit-medical-center-summit-campus,37.8332682,-122.2634625
 CA,California, CACH-TX1,Rady Children's Hospital and Health Center, CACH-TX1 Rady Children's Hospital and Health Center,"D, 477 N El Camino Real #302, Encinitas, CA 92024",http://www.rchsd.org/,33.0571471,-117.2614423
 CA,California, CACL-TX1,Childrens Hospital Los Angeles, CACL-TX1 Childrens Hospital Los Angeles,"4650 Sunset Blvd, Los Angeles, CA 90027",https://www.chla.org/,34.0976912,-118.2900801
 CA,California, CACS-TX1,Cedars-Sinai Medical Center, CACS-TX1 Cedars-Sinai Medical Center,"8700 Beverly Blvd #2900A, Los Angeles, CA 90048",https://www.cedars-sinai.org/,34.0751604,-118.3810936
 CA,California, CAEM-TX1,Eisenhower Memorial Hospital, CAEM-TX1 Eisenhower Memorial Hospital,"39000 Bob Hope Dr, Rancho Mirage, CA 92270",https://www.eisenhowerhealth.org/,33.76336495,-116.4061714
 CA,California, CAGH-TX1,Scripps Green Hospital, CAGH-TX1 Scripps Green Hospital,"10666 N Torrey Pines Rd, San Diego, CA 92037",http://www.scripps.org/LocListSGHsdpsocial-gmb,32.89631765,-117.2426391
 CA,California, CAIM-TX1,University of California Irvine Medical Center, CAIM-TX1 University of California Irvine Medical Center,"101 The City Dr S, Orange, CA 92868",https://www.ucihealth.org/,33.78722845,-117.8884071
 CA,California, CAKP-TX1,Kaiser Permanente-San Francisco Medical Center, CAKP-TX1 Kaiser Permanente-San Francisco Medical Center,"2425 Geary Blvd, San Francisco, CA 94115",https://healthy.kaiserpermanente.org/northern-california/facilities/San-Francisco-Medical-Center-100328,37.7828619,-122.4406591
 CA,California, CALA-TX1,Harbor UCLA Medical Center, CALA-TX1 Harbor UCLA Medical Center,"1000 W Carson St, Torrance, CA 90502",http://www.harbor-ucla.org/,33.8314751,-118.3090998
 CA,California, CALB-TX1,St Mary Medical Center, CALB-TX1 St Mary Medical Center,"1043 Elm Ave Ste 300, Long Beach, CA 90813",https://locations.dignityhealth.org/emergency-medicine-st-mary-medical-center-long-beach?utm_source=LocalSearch&utm_medium=Facility&utm_campaign=SouthernCalifornia&utm_term=St.MaryMedicalCenterLongBeach-EmergencyRoom&y_source=1_ODczNzg0Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,33.78017371,-118.1883568
 CA,California, CALL-TX1,Loma Linda University Medical Center, CALL-TX1 Loma Linda University Medical Center,"11234 Anderson St, Loma Linda, CA 92354",https://lluh.org/?utm_source=google-local&utm_medium=organic&utm_campaign=yext,34.04911185,-117.2634355
 CA,California, CAMB-TX1,UCSF Medical Center at Mission Bay, CAMB-TX1 UCSF Medical Center at Mission Bay,"1825 4th St, San Francisco, CA 94158",https://www.ucsfhealth.org/locations/mission-bay,37.765642,-122.3897377
 CA,California, CAMH-TX1,Santa Rosa Memorial Hospital, CAMH-TX1 Santa Rosa Memorial Hospital,"1287 Fulton Rd, Santa Rosa, CA 95401",http://www.stjoesonoma.org/?y_source=1_ODI0NjgwOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,38.4504283,-122.7715109
 CA,California, CAPC-TX1,Lucile Salter Packard Children's Hospital at Stanford, CAPC-TX1 Lucile Salter Packard Children's Hospital at Stanford,"725 Welch Rd, Palo Alto, CA 94304",https://www.stanfordchildrens.org/?utm_source=local&utm_medium=Yext&utm_campaign=GMB&y_source=1_MTY1NzU0NDYtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl,37.43615675,-122.175251
 CA,California, CAPM-TX1,California Pacific Medical Center-Van Ness Campus, CAPM-TX1 California Pacific Medical Center-Van Ness Campus,"1101 Van Ness Ave, San Francisco, CA 94109",https://www.sutterhealth.org/find-location/facility/cpmc-van-ness-campus,37.785784,-122.421601
 CA,California, CARC-TX1,Riverside Community Hospital, CARC-TX1 Riverside Community Hospital,"4445 Magnolia Ave, Riverside, CA 92501",http://riversidecommunityhospital.com/?utm_campaign=corp_listings_mgmt&utm_source=google&utm_medium=business_listing,33.97651725,-117.3825609
 CA,California, CARZ-TX1,Hoag Memorial Hospital Presbyterian, CARZ-TX1 Hoag Memorial Hospital Presbyterian,"1 Hoag Dr, Newport Beach, CA 92663",https://www.hoag.org/locations/hoag-hospital-newport-beach/?utm_source=google&utm_medium=local&utm_content=hh-nb,33.62465606,-117.9297215
 CA,California, CASB-TX1,Arrowhead Regional Medical Center, CASB-TX1 Arrowhead Regional Medical Center,"400 N Pepper Ave, Colton, CA 92324",https://www.arrowheadregional.org/,34.076434,-117.352826
 CA,California, CASC-TX1,Los Angeles County University of Southern California Medical Center, CASC-TX1 Los Angeles County University of Southern California Medical Center,"2051 Marengo St, Los Angeles, CA 90033",http://www.lacusc.org/,34.05928145,-118.2092188
 CA,California, CASD-TX1,University of California San Diego Medical Center, CASD-TX1 University of California San Diego Medical Center,"9300 Campus Point Dr, La Jolla, CA 92037",https://healthlocations.ucsd.edu/la-jolla/9400-campus-point-drive?utm_source=googlemybusiness&utm_medium=listings,32.87803826,-117.2255213
 CA,California, CASF-TX1,University of California San Francisco Medical Center, CASF-TX1 University of California San Francisco Medical Center,"505 Parnassus Ave, San Francisco, CA 94143",https://www.ucsfhealth.org/,37.76307,-122.4574027
 CA,California, CASG-TX1,Sutter Medical Center Sacramento, CASG-TX1 Sutter Medical Center Sacramento,"2825 Capitol Ave, Sacramento, CA 95816",http://www.sutterhealth.org/,38.5715245,-121.4687327
 CA,California, CASH-TX1,Sharp Memorial Hospital, CASH-TX1 Sharp Memorial Hospital,"7901 Frost St, San Diego, CA 92123",https://www.sharp.com/hospitals/memorial/?utm_source=google&utm_medium=organic&utm_campaign=yext,32.79969815,-117.1543535
 CA,California, CASJ-TX1,Saint Joseph Hospital, CASJ-TX1 Saint Joseph Hospital,"1100 W Stewart Dr, Orange, CA 92868",https://www.providence.org/locations/st-joseph-hospital-orange?y_source=1_MTUzNTQ1MTYtNzE1LWxvY2F0aW9uLmdvb2dsZV93ZWJzaXRlX292ZXJyaWRl#llaid=2509,33.78213355,-117.8640264
 CA,California, CASM-TX1,University of California Davis Medical Center, CASM-TX1 University of California Davis Medical Center,"2315 Stockton Blvd, Sacramento, CA 95817",http://www.ucdmc.ucdavis.edu/medicalcenter/,38.5526924,-121.45179
 CA,California, CASU-TX1,Stanford Health Care, CASU-TX1 Stanford Health Care,"6475 Camden Ave, San Jose, CA 95120",https://stanfordhealthcare.org/,37.220664,-121.865107
 CA,California, CASV-TX1,St. Vincent Medical Center, CASV-TX1 St. Vincent Medical Center,"201 S Alvarado St # 311, Los Angeles, CA 90057",https://stvincent.verity.org/,34.063823,-118.272234
 CA,California, CAUC-TX1,University of California at Los Angeles Medical Center, CAUC-TX1 University of California at Los Angeles Medical Center,"757 Westwood Plaza, Los Angeles, CA 90095",https://www.uclahealth.org/reagan?utm_source=google&utm_medium=Yext,34.0664646,-118.4465073
 CA,California, CAUH-TX1,Keck Hospital of USC, CAUH-TX1 Keck Hospital of USC,"1500 San Pablo St, Los Angeles, CA 90033",https://www.keckmedicine.org/about-keck-medicine/keck-hospital-of-usc/,34.0627257,-118.2018882
 CA,California, CAWM-TX1,Western Medical Center, CAWM-TX1 Western Medical Center,"3033 W Orange Ave, Anaheim, CA 92804",http://www.westanaheimmedctr.com/,33.82562935,-117.9951404
 CO,Colorado, COCH-TX1,Children's Hospital Colorado, COCH-TX1 Children's Hospital Colorado,"13123 E 16th Ave, Aurora, CO 80045",https://www.childrenscolorado.org/locations/anschutz-medical-campus-aurora/?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=100,39.7422167,-104.8361527
 CO,Colorado, COMH-TX1,Memorial Hospital, COMH-TX1 Memorial Hospital,"4050 Briargate Pkwy, Colorado Springs, CO 80920",https://www.uchealth.org/locations/uchealth-memorial-hospital-north/,38.9678136,-104.7541063
